DATASOURCE,DATATYPE,HOW,DATATYPE_IN_NODES,DATASOURCE_IN_NODES
ACTIVE PRODUCT USE,BEHAVIOR ON DEVICE,HARVESTED,32,1
ACTIVE PRODUCT USE,CALL/MESSAGE LOG,HARVESTED,33,1
ACTIVE PRODUCT USE,CONTACTS' INFORMATION,HARVESTED,35,1
ACTIVE PRODUCT USE,DEMOGRAPHICS,HARVESTED,39,1
ACTIVE PRODUCT USE,FILE INFO,HARVESTED,46,1
ACTIVE PRODUCT USE,LOGIN INFORMATION,HARVESTED,49,1
ACTIVE PRODUCT USE,NETWORK INFO,HARVESTED,52,1
ACTIVE PRODUCT USE,NON-PERSONAL DATA,HARVESTED,53,1
ACTIVE PRODUCT USE,PHOTOS,USER PROVIDED,57,1
ACTIVE PRODUCT USE,PRODUCT USE,HARVESTED,59,1
ACTIVE PRODUCT USE,PURCHASE HISTORY,USER PROVIDED,61,1
ACTIVE PRODUCT USE,"SEARCHES (TERMS, RESULTS, HISTORY)",USER PROVIDED,62,1
BEACONS,CURRENT LOCATION,HARVESTED,37,2
BEACONS,LOCATION HISTORY,HARVESTED,48,2
BEACONS,NEARBY LOCATIONS AND PEOPLE,HARVESTED,51,2
CELL TOWERS,CURRENT LOCATION,HARVESTED,37,3
CELL TOWERS,DEMOGRAPHICS,HARVESTED,39,3
CELL TOWERS,LOCATION HISTORY,HARVESTED,48,3
CELL TOWERS,NEARBY LOCATIONS AND PEOPLE,HARVESTED,51,3
COOKIES,ACCOUNTS,HARVESTED,30,4
COOKIES,BEHAVIOR ON DEVICE,HARVESTED,32,4
COOKIES,NETWORK INFO,HARVESTED,52,4
COOKIES,PRODUCT USE,HARVESTED,59,4
DEVICE,APP INFO,HARVESTED,31,5
DEVICE,BEHAVIOR ON DEVICE,HARVESTED,32,5
DEVICE,CALL/MESSAGE LOG,HARVESTED,33,5
DEVICE,CAMERA INFO,HARVESTED,34,5
DEVICE,CURRENT LOCATION,HARVESTED,37,5
DEVICE,DEMOGRAPHICS,HARVESTED,39,5
DEVICE,DEVICE IDENTIFIERS,HARVESTED,40,5
DEVICE,DEVICE INFO,HARVESTED,41,5
DEVICE,DEVICE SIGNALS,HARVESTED,43,5
DEVICE,FILE INFO,HARVESTED,46,5
DEVICE,IP ADDRESS,HARVESTED,47,5
DEVICE,LOCATION HISTORY,HARVESTED,48,5
DEVICE,NEARBY LOCATIONS AND PEOPLE,HARVESTED,51,5
DEVICE,NEARBY LOCATIONS AND PEOPLE,HARVESTED,51,5
DEVICE,NETWORK INFO,HARVESTED,52,5
DEVICE,PRODUCT USE,HARVESTED,59,5
DEVICE,PUBLIC DATA,HARVESTED,60,5
DEVICE,SERVICE PROVIDER,HARVESTED,63,5
THIRD PARTIES,ACCOUNTS,FROM THIRD PARTIES,30,6
THIRD PARTIES,CREDIT HISTORY,FROM THIRD PARTIES,36,6
THIRD PARTIES,DEMOGRAPHICS,FROM THIRD PARTIES,39,6
THIRD PARTIES,DRIVER'S LICENSE NUMBER,FROM THIRD PARTIES,44,6
THIRD PARTIES,FAMILY MEMBERS INFORMATION,FROM THIRD PARTIES,45,6
THIRD PARTIES,NEARBY LOCATIONS AND PEOPLE,HARVESTED,51,6
THIRD PARTIES,NON-PERSONAL DATA,FROM THIRD PARTIES,53,6
