DATATYPE,DATATYPESUBCATEGORY,PURPOSE,PURPOSESUBCATEGORY,COMPANIES,IN_NODES,IN_NODES
ACCOUNTS,PERSONAL DATA,ACCOUNT SECURITY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",51,25
ACCOUNTS,PERSONAL DATA,ADVERTISING,ADVERTISING,"AMAZON,APPLE",51,11
ACCOUNTS,PERSONAL DATA,ANALYTICS,ANALYTICS,"AMAZON,APPLE,FACEBOOK",51,13
ACCOUNTS,PERSONAL DATA,ANY PURPOSE,ANY PURPOSE,"AMAZON,APPLE,FACEBOOK,GOOGLE",51,18
ACCOUNTS,PERSONAL DATA,ANYONE,THIRD PARTY,APPLE,51,28
ACCOUNTS,PERSONAL DATA,COMPANY OPERATIONS,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",51,20
ACCOUNTS,PERSONAL DATA,IMPROVE PRODUCT,ANALYTICS,"AMAZON,APPLE,FACEBOOK",51,14
ACCOUNTS,PERSONAL DATA,LEARN USERS' BEHAVIOR,ANALYTICS,"AMAZON,APPLE,FACEBOOK",51,15
ACCOUNTS,PERSONAL DATA,LOCATION-BASED SERVICES,OPERATIONS,"AMAZON,APPLE,FACEBOOK",51,19
ACCOUNTS,PERSONAL DATA,OTHER,ADVERTISING,"AMAZON,APPLE,FACEBOOK,GOOGLE",51,12
ACCOUNTS,PERSONAL DATA,PERSONALIZE CONTENT,ANALYTICS,"AMAZON,APPLE",51,16
ACCOUNTS,PERSONAL DATA,PERSONALIZE PRODUCT,ANALYTICS,"AMAZON,APPLE,FACEBOOK",51,17
ACCOUNTS,PERSONAL DATA,PRODUCT SAFETY,SAFETY AND SECURITY,"AMAZON,APPLE",51,26
ACCOUNTS,PERSONAL DATA,PROTECT COMPANY,SAFETY AND SECURITY,"AMAZON,APPLE",51,27
ACCOUNTS,PERSONAL DATA,PROVIDE SERVICES,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",51,21
ACCOUNTS,PERSONAL DATA,RECOGNIZE FACES,OPERATIONS,"AMAZON,APPLE",51,22
ACCOUNTS,PERSONAL DATA,RESEARCH AND DEVELOPMENT,RESEARCH AND DEVELOPMENT,FACEBOOK,51,24
ACCOUNTS,PERSONAL DATA,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,"AMAZON,APPLE",51,23
ACCOUNTS,PERSONAL DATA,THIRD PARTY,THIRD PARTY,"AMAZON,APPLE,FACEBOOK",51,29
APP INFO,BEHAVIOR ON DEVICE,ACCOUNT SECURITY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",31,25
APP INFO,BEHAVIOR ON DEVICE,ADVERTISING,ADVERTISING,"AMAZON,APPLE,FACEBOOK,GOOGLE",31,11
APP INFO,BEHAVIOR ON DEVICE,ANALYTICS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",31,13
APP INFO,BEHAVIOR ON DEVICE,ANY PURPOSE,ANY PURPOSE,"AMAZON,APPLE,FACEBOOK,GOOGLE",31,18
APP INFO,BEHAVIOR ON DEVICE,ANYONE,THIRD PARTY,"APPLE,FACEBOOK,GOOGLE",31,28
APP INFO,BEHAVIOR ON DEVICE,COMPANY OPERATIONS,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",31,20
APP INFO,BEHAVIOR ON DEVICE,IMPROVE PRODUCT,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",31,14
APP INFO,BEHAVIOR ON DEVICE,LEARN USERS' BEHAVIOR,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",31,15
APP INFO,BEHAVIOR ON DEVICE,LOCATION-BASED SERVICES,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",31,19
APP INFO,BEHAVIOR ON DEVICE,OTHER,ADVERTISING,"AMAZON,APPLE,FACEBOOK,GOOGLE",31,12
APP INFO,BEHAVIOR ON DEVICE,PERSONALIZE CONTENT,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",31,16
APP INFO,BEHAVIOR ON DEVICE,PERSONALIZE PRODUCT,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",31,17
APP INFO,BEHAVIOR ON DEVICE,PRODUCT SAFETY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",31,26
APP INFO,BEHAVIOR ON DEVICE,PROTECT COMPANY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",31,27
APP INFO,BEHAVIOR ON DEVICE,PROVIDE SERVICES,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",31,21
