DATATYPE,DATATYPESUBCATEGORY,PURPOSE,PURPOSESUBCATEGORY,COMPANIES,IN_NODES,IN_NODES,APPLE_CONCRETE_TEXT,APPLE_FOR_EXAMPLE,Facebook Concrete text,Facebook For Example,AMAZON_CONCRETE_TEXT,AMAZON_FOR_EXAMPLE,GOOGLE_CONCRETE_TEXT,GOOGLE_FOR_EXAMPLE,UserControlFacebook,USER_CONTROL_GOOGLE,DOWNLOADABLE_AMAZON,DOWNLOADABLE_APPLE,DownloadableFacebook,DOWNLOADABLE_GOOGLE,ERASABLE_AMAZON,ERASABLE_APPLE,ErasableFacebook,ERASABLE_GOOGLE
ACCOUNT INFORMATION,PERSONAL DATA,ACCOUNT SECURITY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",28,11,,,,,,,,,,,,,,,,,,
APP INFORMATION,BEHAVIOR ON DEVICE,ACCOUNT SECURITY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",29,11,,,,,,,,,,,,,,,,,,
BEHAVIOR ON DEVICES,BEHAVIOR ON DEVICE,ACCOUNT SECURITY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",30,11,,,,,,,,,,,,,,,,,,
BIOMETRICS,PERSONAL DATA,ACCOUNT SECURITY,SAFETY AND SECURITY,APPLE,31,11,,,,,,,,,,,,,,,,,,
CAMERA INFORMATION,DEVICE INFO,ACCOUNT SECURITY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",33,11,,,,,,,,,,,,,,,,,,
CONTACTS' INFORMATION,PERSONAL DATA,ACCOUNT SECURITY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",34,11,,,,,,,,,,,,,,,,,,
CREDIT HISTORY,PERSONAL DATA,ACCOUNT SECURITY,SAFETY AND SECURITY,FACEBOOK,35,11,,,,,,,,,,,,,,,,,,
CURRENT LOCATION,LOCATION FROM DEVICE,ACCOUNT SECURITY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",36,11,,,,,,,,,,,,,,,,,,
CUSTOMER SERVICE COMMUNICATIONS,PRODUCT USE,ACCOUNT SECURITY,SAFETY AND SECURITY,"AMAZON,FACEBOOK",56,11,,,,,,,,,,,,,,,,,,
DATE OF BIRTH,PERSONAL DATA,ACCOUNT SECURITY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",37,11,,,,,,,,,,,,,,,,,,
DEMOGRAPHICS,NON-PERSONAL DATA,ACCOUNT SECURITY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",38,11,,,,,,,,,,,,,,,,,,
DEVICE IDENTIFIERS,DEVICE INFO,ACCOUNT SECURITY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",39,11,,,,,,,,,,,,,,,,,,
DEVICE INFORMATION,DEVICE INFO,ACCOUNT SECURITY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",40,11,,,,,,,,,,,,,,,,,,
DEVICE SETTINGS,DEVICE INFO,ACCOUNT SECURITY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",41,11,,,,,,,,,,,,,,,,,,
DEVICE SIGNALS,DEVICE SIGNALS,ACCOUNT SECURITY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",42,11,,,,,,,,,,,,,,,,,,
DRIVER'S LICENSE NUMBER,PERSONAL DATA,ACCOUNT SECURITY,SAFETY AND SECURITY,AMAZON,43,11,,,,,,,,,,,,,,,,,,
FAMILY MEMBERS' INFORMATION,PERSONAL DATA,ACCOUNT SECURITY,SAFETY AND SECURITY,FACEBOOK,44,11,,,,,,,,,,,,,,,,,,
FILE INFORMATION,DEVICE INFO,ACCOUNT SECURITY,SAFETY AND SECURITY,FACEBOOK,45,11,,,,,,,,,,,,,,,,,,
IP ADDRESS,DEVICE INFO,ACCOUNT SECURITY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",46,11,,,,,,,,,,,,,,,,,,
LOCATION HISTORY,LOCATION FROM DEVICE,ACCOUNT SECURITY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",47,11,,,,,,,,,,,,,,,,,,
LOGIN INFORMATION,PERSONAL DATA,ACCOUNT SECURITY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",48,11,,,,,,,,,,,,,,,,,,
NAME,PERSONAL DATA,ACCOUNT SECURITY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",49,11,,,,,,,,,,,,,,,,,,
NEARBY LOCATIONS AND PEOPLE,LOCATION FROM DEVICE,ACCOUNT SECURITY,SAFETY AND SECURITY,"AMAZON,FACEBOOK",50,11,,,,,,,,,,,,,,,,,,
NETWORK INFORMATION,DEVICE INFO,ACCOUNT SECURITY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",51,11,,,,,,,,,,,,,,,,,,
NON-PERSONAL DATA,NON-PERSONAL DATA,ACCOUNT SECURITY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",52,11,,,,,,,,,,,,,,,,,,
PAYMENT CARD INFORMATION,PERSONAL DATA,ACCOUNT SECURITY,SAFETY AND SECURITY,"AMAZON,FACEBOOK",53,11,,,,,,,,,,,,,,,,,,
PHOTOGRAPH FROM PROFILE,PERSONAL DATA,ACCOUNT SECURITY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",54,11,,,,,,,,,,,,,,,,,,
PHOTOS,PERSONAL DATA,ACCOUNT SECURITY,SAFETY AND SECURITY,FACEBOOK,55,11,,,,,,,,,,,,,,,,,,
PRODUCT USE,PRODUCT USE,ACCOUNT SECURITY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",57,11,,,,,,,,,,,,,,,,,,
PUBLIC DATA,NON-PERSONAL DATA,ACCOUNT SECURITY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",58,11,,,,,,,,,,,,,,,,,,
PURCHASE HISTORY,NON-PERSONAL DATA,ACCOUNT SECURITY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",59,11,,,,,,,,,,,,,,,,,,
"SEARCHES (TERMS, RESULTS, HISTORY)",NON-PERSONAL DATA,ACCOUNT SECURITY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",60,11,,,,,,,,,,,,,,,,,,
SERVICE PROVIDER INFORMATION,DEVICE SIGNALS,ACCOUNT SECURITY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",61,11,,,,,,,,,,,,,,,,,,
SOCIAL SECURITY NUMBER,PERSONAL DATA,ACCOUNT SECURITY,SAFETY AND SECURITY,AMAZON,62,11,,,,,,,,,,,,,,,,,,
USER'S CONTACT INFORMATION,PERSONAL DATA,ACCOUNT SECURITY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",63,11,,,,,,,,,,,,,,,,,,
ACCOUNT INFORMATION,PERSONAL DATA,ADVERTISING,ADVERTISING,"AMAZON,APPLE,FACEBOOK,GOOGLE",28,12,,,,,,,,,,,,,,,,,,
APP INFORMATION,BEHAVIOR ON DEVICE,ADVERTISING,ADVERTISING,"AMAZON,APPLE,FACEBOOK,GOOGLE",29,12,,,,,,,,,,,,,,,,,,
BEHAVIOR ON DEVICES,BEHAVIOR ON DEVICE,ADVERTISING,ADVERTISING,"AMAZON,APPLE,FACEBOOK,GOOGLE",30,12,,,,,,,,,,,,,,,,,,
CAMERA INFORMATION,DEVICE INFO,ADVERTISING,ADVERTISING,"AMAZON,APPLE,FACEBOOK,GOOGLE",33,12,,,,,,,,,,,,,,,,,,
CREDIT HISTORY,PERSONAL DATA,ADVERTISING,ADVERTISING,AMAZON,35,12,,,,,,,,,,,,,,,,,,
CURRENT LOCATION,LOCATION FROM DEVICE,ADVERTISING,ADVERTISING,"AMAZON,APPLE,FACEBOOK,GOOGLE",36,12,,,,,,,,,,,,,,,,,,
CUSTOMER SERVICE COMMUNICATIONS,PRODUCT USE,ADVERTISING,ADVERTISING,"AMAZON,APPLE",56,12,,,,,,,,,,,,,,,,,,
DATE OF BIRTH,PERSONAL DATA,ADVERTISING,ADVERTISING,"AMAZON,APPLE,FACEBOOK,GOOGLE",37,12,,,,,,,,,,,,,,,,,,
DEVICE IDENTIFIERS,DEVICE INFO,ADVERTISING,ADVERTISING,"AMAZON,APPLE",39,12,,,,,,,,,,,,,,,,,,
DEVICE INFORMATION,DEVICE INFO,ADVERTISING,ADVERTISING,"AMAZON,APPLE,FACEBOOK,GOOGLE",40,12,,,,,,,,,,,,,,,,,,
DEVICE SETTINGS,DEVICE INFO,ADVERTISING,ADVERTISING,"AMAZON,APPLE,FACEBOOK,GOOGLE",41,12,,,,,,,,,,,,,,,,,,
DEVICE SIGNALS,DEVICE SIGNALS,ADVERTISING,ADVERTISING,"AMAZON,APPLE,FACEBOOK,GOOGLE",42,12,,,,,,,,,,,,,,,,,,
DRIVER'S LICENSE NUMBER,PERSONAL DATA,ADVERTISING,ADVERTISING,AMAZON,43,12,,,,,,,,,,,,,,,,,,
IP ADDRESS,DEVICE INFO,ADVERTISING,ADVERTISING,"AMAZON,APPLE,FACEBOOK,GOOGLE",46,12,,,,,,,,,,,,,,,,,,
LOCATION HISTORY,LOCATION FROM DEVICE,ADVERTISING,ADVERTISING,"AMAZON,APPLE,FACEBOOK,GOOGLE",47,12,,,,,,,,,,,,,,,,,,
LOGIN INFORMATION,PERSONAL DATA,ADVERTISING,ADVERTISING,"AMAZON,APPLE,FACEBOOK,GOOGLE",48,12,,,,,,,,,,,,,,,,,,
NAME,PERSONAL DATA,ADVERTISING,ADVERTISING,"AMAZON,APPLE",49,12,,,,,,,,,,,,,,,,,,
NEARBY LOCATIONS AND PEOPLE,LOCATION FROM DEVICE,ADVERTISING,ADVERTISING,APPLE,50,12,,,,,,,,,,,,,,,,,,
NETWORK INFORMATION,DEVICE INFO,ADVERTISING,ADVERTISING,"AMAZON,APPLE,FACEBOOK,GOOGLE",51,12,,,,,,,,,,,,,,,,,,
NON-PERSONAL DATA,NON-PERSONAL DATA,ADVERTISING,ADVERTISING,"AMAZON,APPLE",52,12,,,,,,,,,,,,,,,,,,
PAYMENT CARD INFORMATION,PERSONAL DATA,ADVERTISING,ADVERTISING,AMAZON,53,12,,,,,,,,,,,,,,,,,,
PHOTOGRAPH FROM PROFILE,PERSONAL DATA,ADVERTISING,ADVERTISING,"AMAZON,APPLE,FACEBOOK,GOOGLE",54,12,,,,,,,,,,,,,,,,,,
PRODUCT USE,PRODUCT USE,ADVERTISING,ADVERTISING,"AMAZON,APPLE,FACEBOOK,GOOGLE",57,12,,,,,,,,,,,,,,,,,,
PUBLIC DATA,NON-PERSONAL DATA,ADVERTISING,ADVERTISING,"AMAZON,APPLE,FACEBOOK,GOOGLE",58,12,,,,,,,,,,,,,,,,,,
PURCHASE HISTORY,NON-PERSONAL DATA,ADVERTISING,ADVERTISING,AMAZON,59,12,,,,,,,,,,,,,,,,,,
"SEARCHES (TERMS, RESULTS, HISTORY)",NON-PERSONAL DATA,ADVERTISING,ADVERTISING,AMAZON,60,12,,,,,,,,,,,,,,,,,,
SERVICE PROVIDER INFORMATION,DEVICE SIGNALS,ADVERTISING,ADVERTISING,"AMAZON,APPLE,FACEBOOK,GOOGLE",61,12,,,,,,,,,,,,,,,,,,
SOCIAL SECURITY NUMBER,PERSONAL DATA,ADVERTISING,ADVERTISING,AMAZON,62,12,,,,,,,,,,,,,,,,,,
USER'S CONTACT INFORMATION,PERSONAL DATA,ADVERTISING,ADVERTISING,"AMAZON,APPLE,FACEBOOK,GOOGLE",63,12,,,,,,,,,,,,,,,,,,
ACCOUNT INFORMATION,PERSONAL DATA,ANALYTICS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",28,13,,,,,,,,,,,,,,,,,,
APP INFORMATION,BEHAVIOR ON DEVICE,ANALYTICS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",29,13,,,,,,,,,,,,,,,,,,
BEHAVIOR ON DEVICES,BEHAVIOR ON DEVICE,ANALYTICS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",30,13,,,,,,,,,,,,,,,,,,
BIOMETRICS,PERSONAL DATA,ANALYTICS,ANALYTICS,"FACEBOOK,GOOGLE",31,13,,,,,,,,,,,,,,,,,,
CAMERA INFORMATION,DEVICE INFO,ANALYTICS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",33,13,,,,,,,,,,,,,,,,,,
CURRENT LOCATION,LOCATION FROM DEVICE,ANALYTICS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",36,13,,,,,,,,,,,,,,,,,,
CUSTOMER SERVICE COMMUNICATIONS,PRODUCT USE,ANALYTICS,ANALYTICS,"AMAZON,APPLE",56,13,,,,,,,,,,,,,,,,,,
DATE OF BIRTH,PERSONAL DATA,ANALYTICS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",37,13,,,,,,,,,,,,,,,,,,
DEVICE IDENTIFIERS,DEVICE INFO,ANALYTICS,ANALYTICS,"AMAZON,APPLE",39,13,,,,,,,,,,,,,,,,,,
DEVICE INFORMATION,DEVICE INFO,ANALYTICS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",40,13,,,,,,,,,,,,,,,,,,
DEVICE SETTINGS,DEVICE INFO,ANALYTICS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",41,13,,,,,,,,,,,,,,,,,,
DEVICE SIGNALS,DEVICE SIGNALS,ANALYTICS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",42,13,,,,,,,,,,,,,,,,,,
IP ADDRESS,DEVICE INFO,ANALYTICS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",46,13,,,,,,,,,,,,,,,,,,
LOCATION HISTORY,LOCATION FROM DEVICE,ANALYTICS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",47,13,,,,,,,,,,,,,,,,,,
LOGIN INFORMATION,PERSONAL DATA,ANALYTICS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",48,13,,,,,,,,,,,,,,,,,,
NAME,PERSONAL DATA,ANALYTICS,ANALYTICS,"AMAZON,APPLE,FACEBOOK",49,13,,,,,,,,,,,,,,,,,,
NEARBY LOCATIONS AND PEOPLE,LOCATION FROM DEVICE,ANALYTICS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",50,13,,,,,,,,,,,,,,,,,,
NETWORK INFORMATION,DEVICE INFO,ANALYTICS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",51,13,,,,,,,,,,,,,,,,,,
NON-PERSONAL DATA,NON-PERSONAL DATA,ANALYTICS,ANALYTICS,"AMAZON,APPLE",52,13,,,,,,,,,,,,,,,,,,
PAYMENT CARD INFORMATION,PERSONAL DATA,ANALYTICS,ANALYTICS,AMAZON,53,13,,,,,,,,,,,,,,,,,,
PHOTOGRAPH FROM PROFILE,PERSONAL DATA,ANALYTICS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",54,13,,,,,,,,,,,,,,,,,,
PRODUCT USE,PRODUCT USE,ANALYTICS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",57,13,,,,,,,,,,,,,,,,,,
PUBLIC DATA,NON-PERSONAL DATA,ANALYTICS,ANALYTICS,AMAZON,58,13,,,,,,,,,,,,,,,,,,
PURCHASE HISTORY,NON-PERSONAL DATA,ANALYTICS,ANALYTICS,AMAZON,59,13,,,,,,,,,,,,,,,,,,
"SEARCHES (TERMS, RESULTS, HISTORY)",NON-PERSONAL DATA,ANALYTICS,ANALYTICS,AMAZON,60,13,,,,,,,,,,,,,,,,,Unknown,
SERVICE PROVIDER INFORMATION,DEVICE SIGNALS,ANALYTICS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",61,13,,,,,,,,,,,,,,,,,,
USER'S CONTACT INFORMATION,PERSONAL DATA,ANALYTICS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",63,13,,,,,,,,,,,,,,,,,,
APP INFORMATION,BEHAVIOR ON DEVICE,ANY PURPOSE,ANY PURPOSE,"AMAZON,APPLE,FACEBOOK,GOOGLE",29,14,,,,,,,,,,,,,,,,,,
BEHAVIOR ON DEVICES,BEHAVIOR ON DEVICE,ANY PURPOSE,ANY PURPOSE,"AMAZON,APPLE,FACEBOOK,GOOGLE",30,14,,,,,,,,,,,,,,,,,,
CAMERA INFORMATION,DEVICE INFO,ANY PURPOSE,ANY PURPOSE,"AMAZON,APPLE,FACEBOOK,GOOGLE",33,14,,,,,,,,,,,,,,,,,,
CURRENT LOCATION,LOCATION FROM DEVICE,ANY PURPOSE,ANY PURPOSE,"AMAZON,APPLE,FACEBOOK,GOOGLE",36,14,,,,,,,,,,,,,,,,,,
CUSTOMER SERVICE COMMUNICATIONS,PRODUCT USE,ANY PURPOSE,ANY PURPOSE,"AMAZON,APPLE,FACEBOOK,GOOGLE",56,14,,,,,,,,,,,,,,,,,,
DEVICE IDENTIFIERS,DEVICE INFO,ANY PURPOSE,ANY PURPOSE,"AMAZON,FACEBOOK,GOOGLE",39,14,,,,,,,,,,,,,,,,,,
DEVICE INFORMATION,DEVICE INFO,ANY PURPOSE,ANY PURPOSE,"AMAZON,APPLE,FACEBOOK,GOOGLE",40,14,,,,,,,,,,,,,,,,,,
DEVICE SETTINGS,DEVICE INFO,ANY PURPOSE,ANY PURPOSE,"AMAZON,APPLE,FACEBOOK,GOOGLE",41,14,,,,,,,,,,,,,,,,,,
DEVICE SIGNALS,DEVICE SIGNALS,ANY PURPOSE,ANY PURPOSE,"AMAZON,APPLE,FACEBOOK,GOOGLE",42,14,,,,,,,,,,,,,,,,,,
FILE INFORMATION,DEVICE INFO,ANY PURPOSE,ANY PURPOSE,"FACEBOOK,GOOGLE",45,14,,,,,,,,,,,,,,,,,,
LOCATION HISTORY,LOCATION FROM DEVICE,ANY PURPOSE,ANY PURPOSE,"AMAZON,APPLE,FACEBOOK,GOOGLE",47,14,,,,,,,,,,,,,,,,,,
NEARBY LOCATIONS AND PEOPLE,LOCATION FROM DEVICE,ANY PURPOSE,ANY PURPOSE,"FACEBOOK,GOOGLE",50,14,,,,,,,,,,,,,,,,,,
