DATATYPE,DATATYPESUBCATEGORY,PURPOSE,PURPOSESUBCATEGORY,AMAZON2019,APPLE2019,FACEBOOK2019,GOOGLE2019,COMPANIES,GOOGLE2010,IN_NODES,IN_NODES,USERCONTROLFACEBOOK
USER'S CONTACT INFORMATION,PERSONAL DATA,ACCOUNT SECURITY,SAFETY AND SECURITY,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,68,11,No
SOCIAL SECURITY NUMBER,PERSONAL DATA,ACCOUNT SECURITY,SAFETY AND SECURITY,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",,67,11,Yes
SERVICE PROVIDER INFORMATION,DEVICE SIGNALS,ACCOUNT SECURITY,SAFETY AND SECURITY,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,66,11,No
SEARCHES,NON-PERSONAL DATA,ACCOUNT SECURITY,SAFETY AND SECURITY,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,65,11,No
PURCHASE HISTORY,NON-PERSONAL DATA,ACCOUNT SECURITY,SAFETY AND SECURITY,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,64,11,No
PUBLIC DATA,NON-PERSONAL DATA,ACCOUNT SECURITY,SAFETY AND SECURITY,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,63,11,No
AD INTERACTIONS,PRODUCT USE,ACCOUNT SECURITY,SAFETY AND SECURITY,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,62,11,No
CONTENT CREATED/UPLOADED,PRODUCT USE,ACCOUNT SECURITY,SAFETY AND SECURITY,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,61,11,No
ACTIVE STATUS,PRODUCT USE,ACCOUNT SECURITY,SAFETY AND SECURITY,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,60,11,No
FEATURES USE,PRODUCT USE,ACCOUNT SECURITY,SAFETY AND SECURITY,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,59,11,No
USE OF OTHER PLATFORMS,PRODUCT USE,ACCOUNT SECURITY,SAFETY AND SECURITY,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,58,11,No
PRODUCT USE,PRODUCT USE,ACCOUNT SECURITY,SAFETY AND SECURITY,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,57,11,No
CUSTOMER SERVICE COMMUNICATIONS,PRODUCT USE,ACCOUNT SECURITY,SAFETY AND SECURITY,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,56,11,No
PHOTOS,PERSONAL DATA,ACCOUNT SECURITY,SAFETY AND SECURITY,,APPLE,FACEBOOK,,"APPLE,FACEBOOK",GOOGLE,55,11,No
PHOTOGRAPH FROM PROFILE,PERSONAL DATA,ACCOUNT SECURITY,SAFETY AND SECURITY,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,54,11,No
PAYMENT CARD INFORMATION,PERSONAL DATA,ACCOUNT SECURITY,SAFETY AND SECURITY,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,53,11,No
NON-PERSONAL DATA,NON-PERSONAL DATA,ACCOUNT SECURITY,SAFETY AND SECURITY,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,52,11,No
NETWORK INFORMATION,DEVICE INFO,ACCOUNT SECURITY,SAFETY AND SECURITY,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,51,11,No
