DATASOURCE,DATATYPE,HOW,DATATYPE_IN_NODES,DATASOURCE_IN_NODES
COOKIES,ACCOUNT INFORMATION,HARVESTED,28,4
PUBLIC DATA SOURCES,ACCOUNT INFORMATION,HARVESTED,28,6
THIRD PARTY APPLICATIONS,ACCOUNT INFORMATION,HARVESTED,28,7
USER PROVIDED,ACCOUNT INFORMATION,USER PROVIDED,28,9
DEVICES,APP INFORMATION,HARVESTED,29,5
THIRD PARTY APPLICATIONS,APP INFORMATION,HARVESTED,29,7
ACTIVE PRODUCT USE,BEHAVIOR ON DEVICES,HARVESTED,30,1
COOKIES,BEHAVIOR ON DEVICES,HARVESTED,30,4
DEVICES,BEHAVIOR ON DEVICES,HARVESTED,30,5
ACTIVE PRODUCT USE,BIOMETRICS,USER PROVIDED,31,1
USER PROVIDED,BIOMETRICS,USER PROVIDED,31,9
ACTIVE PRODUCT USE,CALL/MESSAGE METADATA,HARVESTED,32,1
DEVICES,CALL/MESSAGE METADATA,HARVESTED,32,5
DEVICES,CAMERA INFORMATION,HARVESTED,33,5
ACTIVE PRODUCT USE,CONTACTS' INFORMATION,HARVESTED,34,1
USER PROVIDED,CONTACTS' INFORMATION,USER PROVIDED,34,9
THIRD PARTY DATA BROKERS,CREDIT HISTORY,FROM THIRD PARTIES,35,8
BEACONS,CURRENT LOCATION,HARVESTED,36,2
CELL TOWERS,CURRENT LOCATION,HARVESTED,36,3
DEVICES,CURRENT LOCATION,HARVESTED,36,5
USER PROVIDED,CURRENT LOCATION,USER PROVIDED,36,9
WIFI ACCESS POINTS,CURRENT LOCATION,HARVESTED,36,10
USER PROVIDED,DATE OF BIRTH,USER PROVIDED,37,9
ACTIVE PRODUCT USE,DEMOGRAPHICS,HARVESTED,38,1
CELL TOWERS,DEMOGRAPHICS,HARVESTED,38,3
DEVICES,DEMOGRAPHICS,HARVESTED,38,5
PUBLIC DATA SOURCES,DEMOGRAPHICS,HARVESTED,38,6
USER PROVIDED,DEMOGRAPHICS,USER PROVIDED,38,9
DEVICES,DEVICE IDENTIFIERS,HARVESTED,39,5
THIRD PARTY APPLICATIONS,DEVICE IDENTIFIERS,HARVESTED,39,7
DEVICES,DEVICE INFORMATION,HARVESTED,40,5
DEVICES,DEVICE SETTINGS,HARVESTED,41,5
