NAME,CATEGORY,SUBCATEGORY,ORDER,INCLUDES,IN_GENERATES,IN_COLLECTS
ACTIVE PRODUCT USE,DATASOURCE,DATASOURCE,1,,7,
BEACONS,DATASOURCE,DATASOURCE,2,,18,
CELL TOWERS,DATASOURCE,DATASOURCE,3,,19,
COOKIES,DATASOURCE,DATASOURCE,4,,1,
DEVICES,DATASOURCE,DATASOURCE,5,,5,
PUBLIC DATA SOURCES,DATASOURCE,DATASOURCE,6,,2,
THIRD PARTY APPLICATIONS,DATASOURCE,DATASOURCE,7,,3,
THIRD PARTY DATA BROKERS,DATASOURCE,DATASOURCE,8,,17,
USER PROVIDED,DATASOURCE,DATASOURCE,9,,4,
WIFI ACCESS POINTS,DATASOURCE,DATASOURCE,10,,22,
ACCOUNT SECURITY,PURPOSE,SAFETY AND SECURITY,1,"ACCOUNT SECURITY, ANTI-FRAUD, DETECT MALWARE, VERIFY ACTIVITY, VERIFY IDENTITY, FACIAL RECOGNITION",,1
ADVERTISING,PURPOSE,ADVERTISING,2,"IMPROVE ADS, MEASURE AD PERFORMANCE, PERSONALIZE ADS, PROVIDE ADS, SPONSORED CONTENT, THIRD PARTY ADVERTISING",,42
ANALYTICS,PURPOSE,ANALYTICS,3,"ALGORITHMS, MEASURE PERFORMANCE, PROCESSING SEARCH TERMS",,79
ANY PURPOSE,PURPOSE,ANY PURPOSE,4,,,118
COMPANY OPERATIONS,PURPOSE,OPERATIONS,5,"AUDITING, CONNECTING ACROSS PRODUCTS/DEVICES, CUSTOMER SERVICE, FINANCIAL TRANSACTIONS, LEGAL COMPLIANCE, MAINTAINING PRODUCTS/SERVICES, TRACKING OUTAGES",,140
IMPROVE PRODUCTS,PURPOSE,ANALYTICS,6,"IMPROVE APPLICATIONS, IMPROVE CONTENT, IMPROVE PRODUCTS/SERVICES, IMPROVE STORES",,179
LEARN USERS' BEHAVIOR,PURPOSE,ANALYTICS,7,"LEARN FROM USERS, UNDERSTAND CUSTOMER BEHAVIOR",,220
LEGAL COMPLIANCE,PURPOSE,THIRD PARTY,8,LAW ENFORCEMENT REQUESTS,,259
LOCATION-BASED SERVICES,PURPOSE,OPERATIONS,9,"DELIVER PURCHASES, DIRECTIONS, NEARBY RECOMMENDATIONS",,300
PERSONALIZE CONTENT,PURPOSE,ANALYTICS,10,PERSONALIZE CONTENT,,336
PERSONALIZE PRODUCTS,PURPOSE,ANALYTICS,11,"CUSTOMIZE SEARCH RESULTS, PERSONAILZE PRODUCTS/SERVICES",,376
PRODUCT SAFETY,PURPOSE,SAFETY AND SECURITY,12,"DETECT SUSPICIOUS CONTENT, DETECT/PREVENT SPAM, INVESTIGATE VIOLATIONS, LOSS PREVENTION, NETWORK SECURITY, PREVENT HARM, PROTECT SERVICES, PROTECT USERS/PUBLIC",,414
PROTECT COMPANY,PURPOSE,SAFETY AND SECURITY,13,PROTECT COMPANY,,454
PROVIDE SERVICES,PURPOSE,OPERATIONS,14,"APPLICATIONS, PROVIDE CONTENT, PROVIDE FEATURES, PROVIDE PRODUCTS, PROVIDE SEARCH RESULTS, PROVIDE SERVICES, PURCHASES, SUGGESTIONS/RECOMMENDATIONS, FACIAL RECOGNITION",,493
RESEARCH AND DEVELOPMENT,PURPOSE,RESEARCH AND DEVELOPMENT,15,"NEW PRODUCTS/SERVICES, RESEARCH AND INNOVATE FOR SOCIAL GOOD, SURVEYS, TECHNOLOGICAL ADVANCEMENT, TEST PRODUCTS/SERVICES",,534
SERVICES FOR EXTERNAL BUSINESSES,PURPOSE,THIRD PARTY,16,"FULFILLMENT, HELP ADVERTISERS, TECHNICAL SERVICES",,574
THIRD PARTY,PURPOSE,THIRD PARTY,17,"ADVERTISERS, AFFILIATED BUSINESSES AND PARTNERS, APIS, THIRD PARTY APPLICATIONS, CONTENT CREATORS, DATA PROVIDERS, DOMAIN ADMINISTRATORS, GOVERNMENT AND LAW ENFORCEMENT, MEASUREMENT PARTNERS, MERCHANTS/VENDORS, NEW OWNER, REGULATORS, RESEARCHERS/ACADEMICS, SERVICE PROVIDERS/CARRIERS, WEBSITES",,614
ACCOUNT INFORMATION,TYPE OF DATA,PERSONAL DATA,1,"USER PROVIDED INFORMATION, CONTACT INFORMATION (PHONE NUMBER, EMAIL ADDRESSES), CONTACT LIST, ADDITIONAL ACCOUNTS, CONNECTED ACCOUNTS, ACCOUNT TYPE (PERSONAL, BUSINESS)",1,41
APP INFORMATION,TYPE OF DATA,BEHAVIOR ON DEVICE,2,"USE OF OTHER APPLICATIONS, APP NAMES, APP TYPES",5,40
BEHAVIOR ON DEVICES,TYPE OF DATA,BEHAVIOR ON DEVICE,3,"SCROLLING, MOUSE MOVEMENTS, CLICKSTREAM, CLICKS/TAPS, BROWSER DATA, REFERRER URL, SESSION INFORMATION, WINDOW PLACEMENT, OTHER DEVICE USE",7,39
BIOMETRICS,TYPE OF DATA,PERSONAL DATA,4,"FACIAL BIOMETRICS, FINGERPRINTS",10,38
CALL/MESSAGE METADATA,TYPE OF DATA,BEHAVIOR ON DEVICE,5,"CALLING PARTY NUMBER, RECEIVING PARTY NUMBER, FORWARDING NUMBERS, TIME OF CALLS, DATE OF CALLS, TIME OF MESSAGES, DATE OF MESSAGES, DURATION OF CALLS, ROUTING INFORMATION, TYPES OF CALLS",12,37
CAMERA INFORMATION,TYPE OF DATA,DEVICE INFO,6,"CAMERA SETTINGS, CAMERA TYPE, VISUAL DATA THROUGH CAMERA VIEWFINDER",14,36
CONTACTS' INFORMATION,TYPE OF DATA,PERSONAL DATA,7,CONTACTS INFORMATION,15,35
CREDIT HISTORY,TYPE OF DATA,PERSONAL DATA,8,CREDIT HISTORY,17,34
CURRENT LOCATION,TYPE OF DATA,LOCATION FROM DEVICE,9,CURRENT LOCATION,18,33
DATE OF BIRTH,TYPE OF DATA,PERSONAL DATA,10,DATE OF BIRTH,23,32
DEMOGRAPHICS,TYPE OF DATA,NON-PERSONAL DATA,11,DEMOGRAPHICS,24,31
