dataType,dataTypeSubCat,purpose,purposeSubCat,companies,TextAmazon,TextApple,TextFacebook,TextGoogle,LinkAmazon,LinkApple,LinkFacebook,LinkGoogle,LinkAmazonPDF,LinkApplePDF,LinkFacebookPDF,LinkGooglePDF,UserControlAmazon,UserControlApple,UserControlFacebook,UserControlGoogle,DownloadableAmazon,DownloadableApple,DownloadableFacebook,DownloadableGoogle,ErasableAmazon,ErasableApple,ErasableFacebook,ErasableGoogle
nearby devices,device,improve ads,advertising,"apple,facebook,google",,,,,,,,,,,,,,,,,,,,,,,,
nearby devices,device,measure ad performance,advertising,"apple,facebook,google",,,,,,,,,,,,,,,,,,,,,,,,
nearby devices,device,other advertising,advertising,"apple,facebook,google",,,,,,,,,,,,,,,,,,,,,,,,
nearby devices,device,personalize ads,advertising,"apple,facebook,google",,,,,,,,,,,,,,,,,,,,,,,,
nearby devices,device,provide ads,advertising,"apple,facebook,google",,,,,,,,,,,,,,,,,,,,,,,,
nearby devices,device,sponsored content,advertising,"apple,facebook,google",,,,,,,,,,,,,,,,,,,,,,,,
nearby devices,device,third party advertising,advertising,"apple,facebook,google",,,,,,,,,,,,,,,,,,,,,,,,
app names,device,improve ads,advertising,apple,,,,,,,,,,,,,,,,,,,,,,,,
app names,device,measure ad performance,advertising,apple,,,,,,,,,,,,,,,,,,,,,,,,
app names,device,other advertising,advertising,apple,,,,,,,,,,,,,,,,,,,,,,,,
app names,device,personalize ads,advertising,apple,,,,,,,,,,,,,,,,,,,,,,,,
app names,device,provide ads,advertising,apple,,,,,,,,,,,,,,,,,,,,,,,,
app names,device,sponsored content,advertising,apple,,,,,,,,,,,,,,,,,,,,,,,,
app names,device,third party advertising,advertising,apple,,,,,,,,,,,,,,,,,,,,,,,,
app types,device,improve ads,advertising,apple,,,,,,,,,,,,,,,,,,,,,,,,
app types,device,measure ad performance,advertising,apple,,,,,,,,,,,,,,,,,,,,,,,,
app types,device,other advertising,advertising,apple,,,,,,,,,,,,,,,,,,,,,,,,
app types,device,personalize ads,advertising,apple,,,,,,,,,,,,,,,,,,,,,,,,
app types,device,provide ads,advertising,apple,,,,,,,,,,,,,,,,,,,,,,,,
app types,device,sponsored content,advertising,apple,,,,,,,,,,,,,,,,,,,,,,,,
app types,device,third party advertising,advertising,apple,,,,,,,,,,,,,,,,,,,,,,,,
behaviors on device,device,improve ads,advertising,"amazon,apple,facebook,google",The information we learn from customers helps us personalize and continually improve your Amazon experience...we may receive information about...your mobile device,,,,,,,,,,,,,,,,,,,,,,,
behaviors on device,device,measure ad performance,advertising,"amazon,apple,facebook,google",The information we learn from customers helps us personalize and continually improve your Amazon experience...we may receive information about...your mobile device,,,,,,,,,,,,,,,,,,,,,,,
behaviors on device,device,other advertising,advertising,"amazon,apple,facebook,google","we may receive information about your location and your mobile device...to provide you with location-based services, such as advertising, search results, and other personalized content.",,,,,,,,,,,,,,,,,,,,,,,
behaviors on device,device,personalize ads,advertising,"amazon,apple,facebook,google","we may receive information about your location and your mobile device...to provide you with location-based services, such as advertising, search results, and other personalized content.",,,,,,,,,,,,,,,,,,,,,,,
behaviors on device,device,provide ads,advertising,"amazon,apple,facebook,google","we may receive information about your location and your mobile device...to provide you with location-based services, such as advertising, search results, and other personalized content.",,,,,,,,,,,,,,,,,,,,,,,
behaviors on device,device,sponsored content,advertising,"amazon,apple,facebook,google","information that we gather to allow third parties to personalize advertisements we display to you,",,,,,,,,,,,,,,,,,,,,,,,
behaviors on device,device,third party advertising,advertising,"amazon,apple,facebook,google","information that we gather to allow third parties to personalize advertisements we display to you,",,,,,,,,,,,,,,,,,,,,,,,
bluetooth signals,device,improve ads,advertising,"amazon,apple,facebook,google",,"We may collect information such as occupation, language, zip code, area code, unique device identifier, referrer URL, location, and the time zone where an Apple product is used so that we can better understand customer behavior and improve our products, services, and advertising...Where available, location-based services may use GPS, Bluetooth, and your IP Address, along with crowd-sourced Wi-Fi hotspot and cell tower locations, and other technologies to determine your devices’ approximate location.",,,,,,,,,,,,,,,,,,,,,,
bluetooth signals,device,measure ad performance,advertising,"amazon,apple,facebook,google",,"We may collect information such as occupation, language, zip code, area code, unique device identifier, referrer URL, location, and the time zone where an Apple product is used so that we can better understand customer behavior and improve our products, services, and advertising...Where available, location-based services may use GPS, Bluetooth, and your IP Address, along with crowd-sourced Wi-Fi hotspot and cell tower locations, and other technologies to determine your devices’ approximate location.",,,,,,,,,,,,,,,,,,,,,,
bluetooth signals,device,other advertising,advertising,"amazon,apple,facebook,google",,"We may collect information such as occupation, language, zip code, area code, unique device identifier, referrer URL, location, and the time zone where an Apple product is used so that we can better understand customer behavior and improve our products, services, and advertising...Where available, location-based services may use GPS, Bluetooth, and your IP Address, along with crowd-sourced Wi-Fi hotspot and cell tower locations, and other technologies to determine your devices’ approximate location.",,,,,,,,,,,,,,,,,,,,,,
bluetooth signals,device,personalize ads,advertising,"amazon,apple,facebook,google",,"We may collect information such as occupation, language, zip code, area code, unique device identifier, referrer URL, location, and the time zone where an Apple product is used so that we can better understand customer behavior and improve our products, services, and advertising...Where available, location-based services may use GPS, Bluetooth, and your IP Address, along with crowd-sourced Wi-Fi hotspot and cell tower locations, and other technologies to determine your devices’ approximate location.",,,,,,,,,,,,,,,,,,,,,,
bluetooth signals,device,provide ads,advertising,"amazon,apple,facebook,google",,"We may collect information such as occupation, language, zip code, area code, unique device identifier, referrer URL, location, and the time zone where an Apple product is used so that we can better understand customer behavior and improve our products, services, and advertising...Where available, location-based services may use GPS, Bluetooth, and your IP Address, along with crowd-sourced Wi-Fi hotspot and cell tower locations, and other technologies to determine your devices’ approximate location.",,,,,,,,,,,,,,,,,,,,,,
bluetooth signals,device,sponsored content,advertising,"amazon,apple,facebook,google",,"We may collect information such as occupation, language, zip code, area code, unique device identifier, referrer URL, location, and the time zone where an Apple product is used so that we can better understand customer behavior and improve our products, services, and advertising...Where available, location-based services may use GPS, Bluetooth, and your IP Address, along with crowd-sourced Wi-Fi hotspot and cell tower locations, and other technologies to determine your devices’ approximate location.",,,,,,,,,,,,,,,,,,,,,,
bluetooth signals,device,third party advertising,advertising,"amazon,apple,facebook,google",,"We may collect information such as occupation, language, zip code, area code, unique device identifier, referrer URL, location, and the time zone where an Apple product is used so that we can better understand customer behavior and improve our products, services, and advertising...Where available, location-based services may use GPS, Bluetooth, and your IP Address, along with crowd-sourced Wi-Fi hotspot and cell tower locations, and other technologies to determine your devices’ approximate location.",,,,,,,,,,,,,,,,,,,,,,
