DATATYPE,DATATYPESUBCATEGORY,PURPOSE,PURPOSESUBCATEGORY,APPLECONCRETETEXT,FACEBOOKCONCRETETEXT,AMAZONCONCRETETEXT,GOOGLECONCRETETEXT,USERCONTROLFACEBOOK,COMPANIES
ACCOUNT INFORMATION,PERSONAL DATA,ADVERTISING,ADVERTISING,"We create segments, which are groups of people who share similar characteristics, and use these groups for delivering targeted ads. On the App Store, Apple News, and Stocks, we may use information such as the following to assign you to segments: Account Information: Your name, address, age, and devices registered to your account. Information such as your first name in your Apple ID registration page, or salutation in your iTunes Account may be used to derive your gender.",Ads are shown to you based on your activity across Facebook companies and products - such as: Pages you and your friends like; Information from your Facebook and Instagram profile; Places you check in using Facebook,"We use your personal information to display interest-based ads for features, products, and services that might be of interest to you. We do not use information that personally identifies you to display interest-based ads.","Reasons you might see an ad - Your info: Info in your Google Account, like your age range and gender",No,"AMAZON,APPLE,FACEBOOK,GOOGLE"
ACCOUNT INFORMATION,PERSONAL DATA,ANALYTICS,ANALYTICS,"We may also use personal information for internal purposes such as auditing, data analysis, and research to improve Apple’s products, services, and customer communications.","We use the information we have (including your activity off our Products, such as the websites you visit and ads you see) to help advertisers and other partners measure the effectiveness and distribution of their ads and services, and understand the types of people who use their services and how people interact with their websites, apps, and services.","We use your personal information to provide functionality, analyze performance, fix errors, and improve the usability and effectiveness of the Amazon Services.",We use data for analytics and measurement to understand how our services are used.,No,"AMAZON,APPLE,FACEBOOK,GOOGLE"
ACCOUNT INFORMATION,PERSONAL DATA,IMPROVE PRODUCTS,ANALYTICS,"We may also use personal information for internal purposes such as auditing, data analysis, and research to improve Apple’s products, services, and customer communications.","We use the information we have to develop, test and improve our Products, including by conducting surveys and research, and testing and troubleshooting new products and features.","We use your personal information to provide functionality, analyze performance, fix errors, and improve the usability and effectiveness of the Amazon Services.","And we use your information to make improvements to our services — for example, understanding which search terms are most frequently misspelled helps us improve spell-check features used across our services.",No,"AMAZON,APPLE,FACEBOOK,GOOGLE"
ACCOUNT INFORMATION,PERSONAL DATA,LEARN USERS' BEHAVIOR,ANALYTICS,"We may also use personal information for internal purposes such as auditing, data analysis, and research to improve Apple’s products, services, and customer communications.","To create personalized Products that are unique and relevant to you, we use your connections, preferences, interests and activities based on the data we collect and learn from you and others (including any data with special protections you choose to provide); how you use and interact with our Products; and the people, places, or things you're connected to and interested in on and off our Products.","We use your personal information to recommend features, products, and services that might be of interest to you, identify your preferences, and personalize your experience with Amazon Services.","And we use your information to make improvements to our services — for example, understanding which search terms are most frequently misspelled helps us improve spell-check features used across our services. For example, we use cookies to analyze how people interact with our services.",No,"AMAZON,APPLE,FACEBOOK,GOOGLE"
ACCOUNT INFORMATION,PERSONAL DATA,PERSONALIZE CONTENT,ANALYTICS,"We also use personal information to help us create, develop, operate, deliver, and improve our products, services, content and advertising, and for loss prevention and anti-fraud purposes.","To create personalized Products that are unique and relevant to you, we use your connections, preferences, interests and activities based on the data we collect and learn from you and others (including any data with special protections you choose to provide); how you use and interact with our Products; and the people, places, or things you're connected to and interested in on and off our Products.","We use your personal information to recommend features, products, and services that might be of interest to you, identify your preferences, and personalize your experience with Amazon Services.","We use the information we collect to customize our services for you, including providing recommendations, personalized content, and customized search results.",No,"AMAZON,APPLE,FACEBOOK,GOOGLE"
ACCOUNT INFORMATION,PERSONAL DATA,PERSONALIZE PRODUCTS,ANALYTICS,"We also use personal information to help us create, develop, operate, deliver, and improve our products, services, content and advertising, and for loss prevention and anti-fraud purposes.","To create personalized Products that are unique and relevant to you, we use your connections, preferences, interests and activities based on the data we collect and learn from you and others (including any data with special protections you choose to provide); how you use and interact with our Products; and the people, places, or things you're connected to and interested in on and off our Products.","We use your personal information to recommend features, products, and services that might be of interest to you, identify your preferences, and personalize your experience with Amazon Services.","We use the information we collect to customize our services for you, including providing recommendations, personalized content, and customized search results.",No,"AMAZON,APPLE,FACEBOOK,GOOGLE"
ACCOUNT INFORMATION,PERSONAL DATA,COMPANY OPERATIONS,OPERATIONS,"We also use personal information to help us create, develop, operate, deliver, and improve our products, services, content and advertising, and for loss prevention and anti-fraud purposes.","We use the information we have to deliver our Products, including to personalize features and content (including your News Feed, Instagram Feed, Instagram Stories and ads) and make suggestions for you (such as groups or events you may be interested in or topics you may want to follow) on and off our Products.","We use your personal information to take and handle orders, deliver products and services, process payments, and communicate with you about orders, products and services, and promotional offers.",We use your information to deliver our services,No,"AMAZON,APPLE,FACEBOOK,GOOGLE"
ACCOUNT INFORMATION,PERSONAL DATA,LOCATION-BASED SERVICES,OPERATIONS,"When you use Find My, your device's location, as well as information about your device and your account will be sent to and retained by Apple so Apple can provide you with the service.","We use location-related information-such as your current location, where you live, the places you like to go, and the businesses and people you're near-to provide, personalize and improve our Products, including ads, for you and others. Location-related information can be based on things like precise device location (if you've allowed us to collect it), IP addresses, and information from your and others' use of Facebook Products (such as check-ins or events you attend).","We use your personal information to take and handle orders, deliver products and services, process payments, and communicate with you about orders, products and services, and promotional offers.","We use information we collect, like your email address, to interact with you directly. For example, we may send you a notification if we detect suspicious activity, like an attempt to sign in to your Google Account from an unusual location.",No,"AMAZON,APPLE,FACEBOOK,GOOGLE"
ACCOUNT INFORMATION,PERSONAL DATA,PROVIDE SERVICES,OPERATIONS,"We also use personal information to help us create, develop, operate, deliver, and improve our products, services, content and advertising, and for loss prevention and anti-fraud purposes.","We use the information we have to deliver our Products, including to personalize features and content (including your News Feed, Instagram Feed, Instagram Stories and ads) and make suggestions for you (such as groups or events you may be interested in or topics you may want to follow) on and off our Products. To create personalized Products that are unique and relevant to you, we use your connections, preferences, interests and activities based on the data we collect and learn from you and others (including any data with special protections you choose to provide); how you use and interact with our Products; and the people, places, or things you're connected to and interested in on and off our Products.","We use your personal information to provide functionality, analyze performance, fix errors, and improve the usability and effectiveness of the Amazon Services.","We use your information to deliver our services, like processing the terms you search for in order to return results or helping you share content by suggesting recipients from your contacts.",No,"AMAZON,APPLE,FACEBOOK,GOOGLE"
ACCOUNT INFORMATION,PERSONAL DATA,RESEARCH AND DEVELOPMENT,RESEARCH AND DEVELOPMENT,"We may also use personal information for internal purposes such as auditing, data analysis, and research to improve Apple’s products, services, and customer communications.","We use the information we have (including from research partners we collaborate with) to conduct and support research and innovation on topics of general social welfare, technological advancement, public interest, health and well-being.","We use your personal information to operate, provide, develop, and improve the products and services that we offer our customers.",We use the information we collect in existing services to help us develop new ones.,No,"AMAZON,APPLE,FACEBOOK,GOOGLE"
ACCOUNT INFORMATION,PERSONAL DATA,ACCOUNT SECURITY,SAFETY AND SECURITY,"We may also use your personal information for account and network security purposes, including in order to protect our services for the benefit of all our users, and pre-screening or scanning uploaded content for potentially illegal content, including child sexual exploitation material.","We use the information we have to verify accounts and activity, combat harmful conduct, detect and prevent spam and other bad experiences, maintain the integrity of our Products, and promote safety and security on and off of Facebook Products.","We use personal information to prevent and detect fraud and abuse in order to protect the security of our customers, Amazon, and others.","We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.",No,"AMAZON,APPLE,FACEBOOK,GOOGLE"
ACCOUNT INFORMATION,PERSONAL DATA,PRODUCT SAFETY,SAFETY AND SECURITY,"We may also use your personal information for account and network security purposes, including in order to protect our services for the benefit of all our users, and pre-screening or scanning uploaded content for potentially illegal content, including child sexual exploitation material.","We use the information we have to verify accounts and activity, combat harmful conduct, detect and prevent spam and other bad experiences, maintain the integrity of our Products, and promote safety and security on and off of Facebook Products.","We release account and other personal information when we believe release is appropriate to comply with the law; enforce or apply our Conditions of Use and other agreements; or protect the rights, property, or safety of Amazon, our users, or others.","We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.",No,"AMAZON,APPLE,FACEBOOK,GOOGLE"
ACCOUNT INFORMATION,PERSONAL DATA,PROTECT COMPANY,SAFETY AND SECURITY,"We may also use your personal information for account and network security purposes, including in order to protect our services for the benefit of all our users, and pre-screening or scanning uploaded content for potentially illegal content, including child sexual exploitation material.","We provide information and content to vendors and service providers who support our business, such as by providing technical infrastructure services, analyzing how our Products are used, providing customer service, facilitating payments or conducting surveys. We also provide information and content to research partners and academics to conduct research that advances scholarship and innovation that support our business or mission, and enhances discovery and innovation on topics of general social welfare, technological advancement, public interest, health and well-being.","We release account and other personal information when we believe release is appropriate to comply with the law; enforce or apply our Conditions of Use and other agreements; or protect the rights, property, or safety of Amazon, our users, or others.","We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.",No,"AMAZON,APPLE,FACEBOOK,GOOGLE"
ACCOUNT INFORMATION,PERSONAL DATA,LEGAL COMPLIANCE,THIRD PARTY,"We may process your personal information: for the purposes described in this Privacy Policy, with your consent, for compliance with a legal obligation to which Apple is subject, for the performance of a contract to which you are party, in order to protect your vital interests, or when we have assessed it is necessary for the purposes of the legitimate interests pursued by Apple or a third party to whom it may be necessary to disclose information.","We access, preserve and share your information with regulators, law enforcement or others: In response to a legal request (like a search warrant, court order or subpoena) if we have a good faith belief that the law requires us to do so. This may include responding to legal requests from jurisdictions outside of the United States when we have a good-faith belief that the response is required by law in that jurisdiction, affects users in that jurisdiction, and is consistent with internationally recognized standards.","We release account and other personal information when we believe release is appropriate to comply with the law; enforce or apply our Conditions of Use and other agreements; or protect the rights, property, or safety of Amazon, our users, or others.","Google also uses information to satisfy applicable laws or regulations, and discloses information in response to legal process or enforceable government requests, including to law enforcement.",No,"AMAZON,APPLE,FACEBOOK,GOOGLE"
ACCOUNT INFORMATION,PERSONAL DATA,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,"Apple shares personal information with companies who provide services such as information processing, extending credit, fulfilling customer orders, delivering products to you, managing and enhancing customer data, providing customer service, assessing your interest in our products and services, and conducting customer research or satisfaction surveys. These companies are obligated to protect your information and may be located wherever Apple operates.",We share information about you with companies that aggregate it to provide analytics and measurement reports to our partners.,"We employ other companies and individuals to perform functions on our behalf. Examples include fulfilling orders for products or services, delivering packages, sending postal mail and e-mail, removing repetitive information from customer lists, analyzing data, providing marketing assistance, providing search results and links (including paid listings and links), processing payments, transmitting content, scoring, assessing and managing credit risk, and providing customer service. These third-party service providers have access to personal information needed to perform their functions, but may not use it for other purposes.","We provide personal information to our affiliates and other trusted businesses or persons to process it for us, based on our instructions and in compliance with our Privacy Policy and any other appropriate confidentiality and security measures. For example, we use service providers to help us with customer support.",No,"AMAZON,APPLE,FACEBOOK,GOOGLE"
ACCOUNT INFORMATION,PERSONAL DATA,THIRD PARTY,THIRD PARTY,"At times Apple may provide third parties with certain personal information to provide or improve our products and services, including to deliver products at your request, or to help Apple market to consumers.","We provide information and content to vendors and service providers who support our business, such as by providing technical infrastructure services, analyzing how our Products are used, providing customer service, facilitating payments or conducting surveys.","We make available to you services, products, applications, or skills provided by third parties for use on or through Amazon Services. For example, you can order products from third parties through our stores, download applications from third-party application providers from our App Store, and enable third-party skills through our Alexa services. We also offer services or sell product lines jointly with third-party businesses, such as co-branded credit cards. You can tell when a third party is involved in your transactions, and we share customers’ personal information related to those transactions with that third party.","We provide personal information to our affiliates and other trusted businesses or persons to process it for us, based on our instructions and in compliance with our Privacy Policy and any other appropriate confidentiality and security measures.",No,"AMAZON,APPLE,FACEBOOK,GOOGLE"
ACTIVE STATUS,PRODUCT USE,ACCOUNT SECURITY,SAFETY AND SECURITY,"We may collect, use, transfer, and disclose non-personal information for any purpose.","From the Facebook Graph API documentation: ""Any valid access token can read photos on a public Page. A page access token can read all photos posted to or posted by that Page. The current user's photos can be read if the user has granted the user_photos or user_posts permission. A user access token may read a photo that the current user is tagged in if they have granted the user_photos or user_posts permission. However, in some cases the photo's owner's privacy settings may not allow your application to access it.""","We use personal information to prevent and detect fraud and abuse in order to protect the security of our customers, Amazon, and others.","We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.",No,"AMAZON,APPLE,FACEBOOK,GOOGLE"
ACTIVE STATUS,PRODUCT USE,ADVERTISING,ADVERTISING,"We may collect, use, transfer, and disclose non-personal information for any purpose.","When we show you ads off Facebook Company Products, such as on websites, apps and devices that use our advertising services, we use data about your activity on Facebook Company Products to make them more relevant.","We use your personal information to display interest-based ads for features, products, and services that might be of interest to you. We do not use information that personally identifies you to display interest-based ads.",Reasons you might see an ad - Your activity: Your current search query; Previous search activity; Your activity while you were signed in to Google; Your previous interactions with ads; Types of websites you visit; Types of mobile app activity on your device; Your activity on another device,No,"AMAZON,APPLE,FACEBOOK,GOOGLE"
ACTIVE STATUS,PRODUCT USE,ANALYTICS,ANALYTICS,"We may collect, use, transfer, and disclose non-personal information for any purpose.","We use the information we have to develop, test and improve our Products, including by conducting surveys and research, and testing and troubleshooting new products and features.","We use your personal information to provide functionality, analyze performance, fix errors, and improve the usability and effectiveness of the Amazon Services.",We use data for analytics and measurement to understand how our services are used.,No,"AMAZON,APPLE,FACEBOOK,GOOGLE"
ACTIVE STATUS,PRODUCT USE,ANY PURPOSE,ANY PURPOSE,"We may collect, use, transfer, and disclose non-personal information for any purpose.",,,,,APPLE
ACTIVE STATUS,PRODUCT USE,COMPANY OPERATIONS,OPERATIONS,"We may collect, use, transfer, and disclose non-personal information for any purpose.","We use the information we have to deliver our Products, including to personalize features and content (including your News Feed, Instagram Feed, Instagram Stories and ads) and make suggestions for you (such as groups or events you may be interested in or topics you may want to follow) on and off our Products.","We use your personal information to take and handle orders, deliver products and services, process payments, and communicate with you about orders, products and services, and promotional offers.",We use your information to deliver our services,No,"AMAZON,APPLE,FACEBOOK,GOOGLE"
