DATATYPE,DATATYPESUBCATEGORY,PURPOSE,PURPOSESUBCATEGORY,COMPANIES,IN_NODES,IN_NODES
ACCOUNTS,PERSONAL DATA,THIRD PARTY,RESEARCH AND DEVELOPMENT,"AMAZON,APPLE,FACEBOOK",49,28
ACCOUNTS,PERSONAL DATA,RESEARCH AND DEVELOPMENT,OPERATIONS,FACEBOOK,49,23
ACCOUNTS,PERSONAL DATA,RECOGNIZE FACES,OPERATIONS,"AMAZON,APPLE",49,21
ACCOUNTS,PERSONAL DATA,PROVIDE SERVICES,PROVIDE BUSINESS SERVICES,"AMAZON,APPLE,FACEBOOK,GOOGLE",49,20
ACCOUNTS,PERSONAL DATA,PROVIDE BUSINESS SERVICES,SAFETY AND SECURITY,"AMAZON,APPLE",49,22
ACCOUNTS,PERSONAL DATA,PROTECT COMPANY,SAFETY AND SECURITY,"AMAZON,APPLE",49,26
ACCOUNTS,PERSONAL DATA,PRODUCT SAFETY,ANALYTICS/DATA ANALYSIS,"AMAZON,APPLE",49,25
ACCOUNTS,PERSONAL DATA,PERSONALIZE PRODUCT,ANALYTICS/DATA ANALYSIS,"AMAZON,APPLE,FACEBOOK",49,16
ACCOUNTS,PERSONAL DATA,PERSONALIZE CONTENT,LOCATION-BASED SERVICES,"AMAZON,APPLE",49,15
ACCOUNTS,PERSONAL DATA,OTHER,LOCATION-BASED SERVICES,"AMAZON,APPLE,FACEBOOK,GOOGLE",49,11
ACCOUNTS,PERSONAL DATA,LOCATION-BASED SERVICES,ANALYTICS/DATA ANALYSIS,"AMAZON,APPLE,FACEBOOK",49,18
ACCOUNTS,PERSONAL DATA,LEARN USERS' BEHAVIOR,ANALYTICS/DATA ANALYSIS,"AMAZON,APPLE,FACEBOOK",49,14
ACCOUNTS,PERSONAL DATA,IMPROVE PRODUCT,OPERATIONS,"AMAZON,APPLE,FACEBOOK",49,13
ACCOUNTS,PERSONAL DATA,COMPANY OPERATIONS,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",49,19
ACCOUNTS,PERSONAL DATA,ANYONE,ANY PURPOSE,APPLE,49,27
ACCOUNTS,PERSONAL DATA,ANY PURPOSE,ANALYTICS/DATA ANALYSIS,"AMAZON,APPLE,FACEBOOK,GOOGLE",49,17
ACCOUNTS,PERSONAL DATA,ANALYTICS,ADVERTISING,"AMAZON,APPLE,FACEBOOK",49,12
ACCOUNTS,PERSONAL DATA,ADVERTISING,SAFETY AND SECURITY,"AMAZON,APPLE",49,10
ACCOUNTS,PERSONAL DATA,ACCOUNT SECURITY,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",49,24
APP INFO,BEHAVIOR ON DEVICE,THIRD PARTY,RESEARCH AND DEVELOPMENT,"AMAZON,APPLE,FACEBOOK,GOOGLE",29,28
APP INFO,BEHAVIOR ON DEVICE,RECOGNIZE FACES,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",29,21
APP INFO,BEHAVIOR ON DEVICE,PROVIDE SERVICES,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",29,20
APP INFO,BEHAVIOR ON DEVICE,PROVIDE BUSINESS SERVICES,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",29,22
APP INFO,BEHAVIOR ON DEVICE,PROTECT COMPANY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",29,26
