DATASOURCE,DATATYPE,HOW,DATATYPE_IN_NODES,DATASOURCE_IN_NODES
COOKIES,ACCOUNTS,HARVESTED,49,4
THIRD PARTIES,ACCOUNTS,FROM THIRD PARTIES,49,6
THIRD PARTY APPLICATIONS,ACCOUNTS,HARVESTED,49,7
USER PROVIDED,ACCOUNTS,USER PROVIDED,49,8
DEVICE,APP INFO,HARVESTED,29,5
THIRD PARTY APPLICATIONS,APP INFO,HARVESTED,29,7
ACTIVE PRODUCT USE,BEHAVIOR ON DEVICE,HARVESTED,30,1
COOKIES,BEHAVIOR ON DEVICE,HARVESTED,30,4
DEVICE,BEHAVIOR ON DEVICE,HARVESTED,30,5
ACTIVE PRODUCT USE,CALL/MESSAGE LOG,HARVESTED,31,1
DEVICE,CALL/MESSAGE LOG,HARVESTED,31,5
DEVICE,CAMERA INFO,HARVESTED,32,5
ACTIVE PRODUCT USE,CONTACTS' INFORMATION,HARVESTED,50,1
USER PROVIDED,CONTACTS' INFORMATION,USER PROVIDED,50,8
THIRD PARTIES,CREDIT HISTORY,FROM THIRD PARTIES,51,6
BEACONS,CURRENT LOCATION,HARVESTED,41,2
CELL TOWERS,CURRENT LOCATION,HARVESTED,41,3
DEVICE,CURRENT LOCATION,HARVESTED,41,5
USER PROVIDED,CURRENT LOCATION,USER PROVIDED,41,8
WIFI ACCESS POINTS,CURRENT LOCATION,HARVESTED,41,9
USER PROVIDED,DATE OF BIRTH,USER PROVIDED,52,8
ACTIVE PRODUCT USE,DEMOGRAPHICS,HARVESTED,44,1
CELL TOWERS,DEMOGRAPHICS,HARVESTED,44,3
DEVICE,DEMOGRAPHICS,HARVESTED,44,5
THIRD PARTIES,DEMOGRAPHICS,FROM THIRD PARTIES,44,6
USER PROVIDED,DEMOGRAPHICS,USER PROVIDED,44,8
DEVICE,DEVICE IDENTIFIERS,HARVESTED,33,5
THIRD PARTY APPLICATIONS,DEVICE IDENTIFIERS,HARVESTED,33,7
DEVICE,DEVICE INFO,HARVESTED,34,5
DEVICE,DEVICE SETTINGS,HARVESTED,35,5
DEVICE,DEVICE SIGNALS,HARVESTED,39,5
THIRD PARTIES,DRIVER'S LICENSE NUMBER,FROM THIRD PARTIES,53,6
USER PROVIDED,DRIVER'S LICENSE NUMBER,USER PROVIDED,53,8
THIRD PARTIES,FAMILY MEMBERS INFORMATION,FROM THIRD PARTIES,54,6
USER PROVIDED,FAMILY MEMBERS INFORMATION,USER PROVIDED,54,8
ACTIVE PRODUCT USE,FILE INFO,HARVESTED,36,1
DEVICE,FILE INFO,HARVESTED,36,5
DEVICE,IP ADDRESS,HARVESTED,37,5
BEACONS,LOCATION HISTORY,HARVESTED,42,2
CELL TOWERS,LOCATION HISTORY,HARVESTED,42,3
DEVICE,LOCATION HISTORY,HARVESTED,42,5
USER PROVIDED,LOCATION HISTORY,USER PROVIDED,42,8
WIFI ACCESS POINTS,LOCATION HISTORY,HARVESTED,42,9
ACTIVE PRODUCT USE,LOGIN INFORMATION,HARVESTED,55,1
USER PROVIDED,LOGIN INFORMATION,USER PROVIDED,55,8
USER PROVIDED,NAME,USER PROVIDED,56,8
BEACONS,NEARBY LOCATIONS AND PEOPLE,HARVESTED,43,2
CELL TOWERS,NEARBY LOCATIONS AND PEOPLE,HARVESTED,43,3
DEVICE,NEARBY LOCATIONS AND PEOPLE,HARVESTED,43,5
DEVICE,NEARBY LOCATIONS AND PEOPLE,HARVESTED,43,5
THIRD PARTIES,NEARBY LOCATIONS AND PEOPLE,HARVESTED,43,6
USER PROVIDED,NEARBY LOCATIONS AND PEOPLE,USER PROVIDED,43,8
WIFI ACCESS POINTS,NEARBY LOCATIONS AND PEOPLE,HARVESTED,43,9
ACTIVE PRODUCT USE,NETWORK INFO,HARVESTED,38,1
COOKIES,NETWORK INFO,HARVESTED,38,4
DEVICE,NETWORK INFO,HARVESTED,38,5
ACTIVE PRODUCT USE,NON-PERSONAL DATA,HARVESTED,45,1
THIRD PARTIES,NON-PERSONAL DATA,FROM THIRD PARTIES,45,6
USER PROVIDED,NON-PERSONAL DATA,USER PROVIDED,45,8
USER PROVIDED,OTHER ACCOUNT INFORMATION,USER PROVIDED,57,8
USER PROVIDED,PAYMENT CARD INFORMATION,USER PROVIDED,58,8
USER PROVIDED,PHOTOGRAPH FROM PROFILE,USER PROVIDED,59,8
ACTIVE PRODUCT USE,PHOTOS,USER PROVIDED,60,1
USER PROVIDED,PHOTOS,USER PROVIDED,60,8
THIRD PARTIES,PRODUCT SUPPORT,HARVESTED,63,6
USER PROVIDED,PRODUCT SUPPORT,USER PROVIDED,63,8
ACTIVE PRODUCT USE,PRODUCT USE,HARVESTED,64,1
COOKIES,PRODUCT USE,HARVESTED,64,4
DEVICE,PRODUCT USE,HARVESTED,64,5
THIRD PARTIES,PRODUCT USE,FROM THIRD PARTIES,64,6
USER PROVIDED,PRODUCT USE,USER PROVIDED,64,8
DEVICE,PUBLIC DATA,HARVESTED,46,5
THIRD PARTIES,PUBLIC DATA,HARVESTED,46,6
ACTIVE PRODUCT USE,PURCHASE HISTORY,USER PROVIDED,47,1
USER PROVIDED,PURCHASE HISTORY,USER PROVIDED,47,8
ACTIVE PRODUCT USE,"SEARCHES (TERMS, RESULTS, HISTORY)",USER PROVIDED,48,1
THIRD PARTY APPLICATIONS,"SEARCHES (TERMS, RESULTS, HISTORY)",USER PROVIDED,48,7
DEVICE,SERVICE PROVIDER,HARVESTED,40,5
THIRD PARTIES,SERVICE PROVIDER,HARVESTED,40,6
USER PROVIDED,SOCIAL SECURITY NUMBER,USER PROVIDED,61,8
USER PROVIDED,USER'S CONTACT INFORMATION,USER PROVIDED,62,8
