DATATYPE,DATATYPESUBCATEGORY,PURPOSE,PURPOSESUBCATEGORY,GOOGLE2019,GOOGLE2010,YEARS,GOOGLECONCRETETEXT,GOOGLEFOREXAMPLE,USERCONTROLGOOGLE,DOWNLOADABLEGOOGLE,ERASABLEGOOGLE
USER'S CONTACT INFORMATION,PERSONAL DATA,THIRD PARTY,THIRD PARTY,2019,2010,"2019,2010","Google shares information with service providers to perform services on our behalf, in compliance with our Privacy Policy and other appropriate confidentiality and security measures. For example, we may rely on service providers to help provide customer support.","When you sign up for a Google Account, you provide us with personal information. If you are signed in, we collect and protect information you create when using our services. This can include: Your name, birthday, and gender; Your password and phone number",No,No,Unknown
SERVICE PROVIDER INFORMATION,DEVICE SIGNALS,THIRD PARTY,THIRD PARTY,2019,2010,"2019,2010","We provide personal information to our affiliates and other trusted businesses or persons to process it for us, based on our instructions and in compliance with our Privacy Policy and any other appropriate confidentiality and security measures.","The information we collect includes unique identifiers, browser type and settings, device type and settings, operating system, mobile network information including carrier name and phone number, and application version number. We also collect information about the interaction of your apps, browsers, and devices with our services, including IP address, crash reports, system activity, and the date, time, and referrer URL of your request.",No,No,Unknown
SEARCHES,NON-PERSONAL DATA,THIRD PARTY,THIRD PARTY,2019,2010,"2019,2010","We provide personal information to our affiliates and other trusted businesses or persons to process it for us, based on our instructions and in compliance with our Privacy Policy and any other appropriate confidentiality and security measures.","Like most websites, our servers automatically record the page requests made when you visit our sites. These “server logs” typically include your web request, Internet Protocol address, browser type, browser language, the date and time of your request, and one or more cookies that may uniquely identify your browser.",No,Partial,Yes
PURCHASE HISTORY,NON-PERSONAL DATA,THIRD PARTY,THIRD PARTY,2019,2010,"2019,2010","We provide personal information to our affiliates and other trusted businesses or persons to process it for us, based on our instructions and in compliance with our Privacy Policy and any other appropriate confidentiality and security measures.","Where necessary to process your transactions, you also permit Google to share your personal information with merchants, payment processors, and other third parties.",No,Yes,Unknown
PUBLIC DATA,NON-PERSONAL DATA,THIRD PARTY,THIRD PARTY,2019,2010,"2019,2010","We provide personal information to our affiliates and other trusted businesses or persons to process it for us, based on our instructions and in compliance with our Privacy Policy and any other appropriate confidentiality and security measures.","In some circumstances, Google also collects information about you from publicly accessible sources. For example, if your name appears in your local newspaper, Google’s Search engine may index that article and display it to other people if they search for your name. ",No,No,Unknown
AD INTERACTIONS,PRODUCT USE,THIRD PARTY,THIRD PARTY,2019,2010,"2019,2010","We provide personal information to our affiliates and other trusted businesses or persons to process it for us, based on our instructions and in compliance with our Privacy Policy and any other appropriate confidentiality and security measures.","We collect information about your activity in our services, which we use to do things like recommend a YouTube video you might like. The activity information we collect may include: Terms you search for, Videos you watch, Views and interactions with content and ads, Voice and audio information when you use audio features, Purchase activity, People with whom you communicate or share content, Activity on third-party sites and apps that use our services, Chrome browsing history you’ve synced with your Google Account.",No,Partial,No
CONTENT CREATED/UPLOADED,PRODUCT USE,THIRD PARTY,THIRD PARTY,2019,2010,"2019,2010","We provide personal information to our affiliates and other trusted businesses or persons to process it for us, based on our instructions and in compliance with our Privacy Policy and any other appropriate confidentiality and security measures.","We collect information about your activity in our services, which we use to do things like recommend a YouTube video you might like. The activity information we collect may include: Terms you search for, Videos you watch, Views and interactions with content and ads, Voice and audio information when you use audio features, Purchase activity, People with whom you communicate or share content, Activity on third-party sites and apps that use our services, Chrome browsing history you’ve synced with your Google Account.",No,Partial,Unknown
ACTIVE STATUS,PRODUCT USE,THIRD PARTY,THIRD PARTY,2019,2010,"2019,2010","We provide personal information to our affiliates and other trusted businesses or persons to process it for us, based on our instructions and in compliance with our Privacy Policy and any other appropriate confidentiality and security measures.","We collect information about your activity in our services, which we use to do things like recommend a YouTube video you might like. The activity information we collect may include: Terms you search for, Videos you watch, Views and interactions with content and ads, Voice and audio information when you use audio features, Purchase activity, People with whom you communicate or share content, Activity on third-party sites and apps that use our services, Chrome browsing history you’ve synced with your Google Account.",No,No,Unknown
FEATURES USE,PRODUCT USE,THIRD PARTY,THIRD PARTY,2019,2010,"2019,2010","We provide personal information to our affiliates and other trusted businesses or persons to process it for us, based on our instructions and in compliance with our Privacy Policy and any other appropriate confidentiality and security measures.","We collect information about your activity in our services, which we use to do things like recommend a YouTube video you might like. The activity information we collect may include: Terms you search for, Videos you watch, Views and interactions with content and ads, Voice and audio information when you use audio features, Purchase activity, People with whom you communicate or share content, Activity on third-party sites and apps that use our services, Chrome browsing history you’ve synced with your Google Account.",No,No,Unknown
USE OF OTHER PLATFORMS,PRODUCT USE,THIRD PARTY,THIRD PARTY,2019,2010,"2019,2010","We provide personal information to our affiliates and other trusted businesses or persons to process it for us, based on our instructions and in compliance with our Privacy Policy and any other appropriate confidentiality and security measures.","We collect information about your activity in our services, which we use to do things like recommend a YouTube video you might like. The activity information we collect may include: Terms you search for, Videos you watch, Views and interactions with content and ads, Voice and audio information when you use audio features, Purchase activity, People with whom you communicate or share content, Activity on third-party sites and apps that use our services, Chrome browsing history you’ve synced with your Google Account.",No,No,Unknown
PRODUCT USE,PRODUCT USE,THIRD PARTY,THIRD PARTY,2019,2010,"2019,2010","We provide personal information to our affiliates and other trusted businesses or persons to process it for us, based on our instructions and in compliance with our Privacy Policy and any other appropriate confidentiality and security measures.","We collect information about your activity in our services, which we use to do things like recommend a YouTube video you might like. The activity information we collect may include: Terms you search for, Videos you watch, Views and interactions with content and ads, Voice and audio information when you use audio features, Purchase activity, People with whom you communicate or share content, Activity on third-party sites and apps that use our services, Chrome browsing history you’ve synced with your Google Account.",No,No,Unknown
PHOTOGRAPH FROM PROFILE,PERSONAL DATA,THIRD PARTY,THIRD PARTY,2019,2010,"2019,2010","We provide personal information to our affiliates and other trusted businesses or persons to process it for us, based on our instructions and in compliance with our Privacy Policy and any other appropriate confidentiality and security measures.","We also collect the content you create, upload, or receive from others when using our services. This includes things like email you write and receive, photos and videos you save, docs and spreadsheets you create, and comments you make on YouTube videos.",No,No,Unknown
NON-PERSONAL DATA,NON-PERSONAL DATA,THIRD PARTY,THIRD PARTY,2019,2010,"2019,2010","We provide personal information to our affiliates and other trusted businesses or persons to process it for us, based on our instructions and in compliance with our Privacy Policy and any other appropriate confidentiality and security measures.","We may also collect information about you from trusted partners, including marketing partners who provide us with information about potential customers of our business services, and security partners who provide us with information to protect against abuse. We also receive information from advertisers to provide advertising and research services on their behalf.",No,No,Unknown
NETWORK INFORMATION,DEVICE INFO,THIRD PARTY,THIRD PARTY,2019,2010,"2019,2010","We provide personal information to our affiliates and other trusted businesses or persons to process it for us, based on our instructions and in compliance with our Privacy Policy and any other appropriate confidentiality and security measures.","The information we collect includes unique identifiers, browser type and settings, device type and settings, operating system, mobile network information including carrier name and phone number, and application version number.",No,No,Unknown
NEARBY LOCATIONS AND PEOPLE,LOCATION FROM DEVICE,THIRD PARTY,THIRD PARTY,2019,2010,"2019,2010","We provide personal information to our affiliates and other trusted businesses or persons to process it for us, based on our instructions and in compliance with our Privacy Policy and any other appropriate confidentiality and security measures.","We collect information about your location when you use our services, which helps us offer features like driving directions for your weekend getaway or showtimes for movies playing near you.",No,No,Unknown
NAME,PERSONAL DATA,THIRD PARTY,THIRD PARTY,2019,2010,"2019,2010","We provide personal information to our affiliates and other trusted businesses or persons to process it for us, based on our instructions and in compliance with our Privacy Policy and any other appropriate confidentiality and security measures.","When you create a Google Account, you provide us with personal information that includes your name and a password. ",No,Yes,Unknown
LOCATION HISTORY,LOCATION FROM DEVICE,THIRD PARTY,THIRD PARTY,2019,2010,"2019,2010","We provide personal information to our affiliates and other trusted businesses or persons to process it for us, based on our instructions and in compliance with our Privacy Policy and any other appropriate confidentiality and security measures.","We collect information about your location when you use our services, which helps us offer features like driving directions for your weekend getaway or showtimes for movies playing near you.",No,Partial,Unknown
IP ADDRESS,DEVICE INFO,THIRD PARTY,THIRD PARTY,2019,2010,"2019,2010","We provide personal information to our affiliates and other trusted businesses or persons to process it for us, based on our instructions and in compliance with our Privacy Policy and any other appropriate confidentiality and security measures.","We also collect information about the interaction of your apps, browsers, and devices with our services, including IP address, crash reports, system activity, and the date, time, and referrer URL of your request.",No,No,Unknown
