DATATYPE,DATATYPESUBCATEGORY,PURPOSE,PURPOSESUBCATEGORY,GOOGLE2019,GOOGLE2010,GOOGLE2001
ACCOUNT INFORMATION,PERSONAL DATA,ADVERTISING,ADVERTISING,GOOGLE,GOOGLE,GOOGLE
ACCOUNT INFORMATION,PERSONAL DATA,ANALYTICS,ANALYTICS,GOOGLE,GOOGLE,GOOGLE
ACCOUNT INFORMATION,PERSONAL DATA,IMPROVE PRODUCTS,ANALYTICS,GOOGLE,GOOGLE,GOOGLE
ACCOUNT INFORMATION,PERSONAL DATA,LEARN USERS' BEHAVIOR,ANALYTICS,GOOGLE,GOOGLE,GOOGLE
ACCOUNT INFORMATION,PERSONAL DATA,PERSONALIZE CONTENT,ANALYTICS,GOOGLE,GOOGLE,GOOGLE
ACCOUNT INFORMATION,PERSONAL DATA,PERSONALIZE PRODUCTS,ANALYTICS,GOOGLE,GOOGLE,GOOGLE
ACCOUNT INFORMATION,PERSONAL DATA,COMPANY OPERATIONS,OPERATIONS,GOOGLE,GOOGLE,GOOGLE
ACCOUNT INFORMATION,PERSONAL DATA,LOCATION-BASED SERVICES,OPERATIONS,GOOGLE,GOOGLE,GOOGLE
ACCOUNT INFORMATION,PERSONAL DATA,PROVIDE SERVICES,OPERATIONS,GOOGLE,GOOGLE,GOOGLE
ACCOUNT INFORMATION,PERSONAL DATA,RESEARCH AND DEVELOPMENT,RESEARCH AND DEVELOPMENT,GOOGLE,GOOGLE,GOOGLE
ACCOUNT INFORMATION,PERSONAL DATA,ACCOUNT SECURITY,SAFETY AND SECURITY,GOOGLE,GOOGLE,GOOGLE
ACCOUNT INFORMATION,PERSONAL DATA,PRODUCT SAFETY,SAFETY AND SECURITY,GOOGLE,GOOGLE,GOOGLE
ACCOUNT INFORMATION,PERSONAL DATA,PROTECT COMPANY,SAFETY AND SECURITY,GOOGLE,GOOGLE,GOOGLE
ACCOUNT INFORMATION,PERSONAL DATA,LEGAL COMPLIANCE,THIRD PARTY,GOOGLE,GOOGLE,GOOGLE
ACCOUNT INFORMATION,PERSONAL DATA,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,GOOGLE,GOOGLE,GOOGLE
ACCOUNT INFORMATION,PERSONAL DATA,THIRD PARTY,THIRD PARTY,GOOGLE,GOOGLE,GOOGLE
ACTIVE STATUS,PRODUCT USE,ACCOUNT SECURITY,SAFETY AND SECURITY,GOOGLE,GOOGLE,GOOGLE
ACTIVE STATUS,PRODUCT USE,ADVERTISING,ADVERTISING,GOOGLE,GOOGLE,GOOGLE
ACTIVE STATUS,PRODUCT USE,ANALYTICS,ANALYTICS,GOOGLE,GOOGLE,GOOGLE
ACTIVE STATUS,PRODUCT USE,COMPANY OPERATIONS,OPERATIONS,GOOGLE,GOOGLE,GOOGLE
ACTIVE STATUS,PRODUCT USE,IMPROVE PRODUCTS,ANALYTICS,GOOGLE,GOOGLE,GOOGLE
ACTIVE STATUS,PRODUCT USE,LEARN USERS' BEHAVIOR,ANALYTICS,GOOGLE,GOOGLE,GOOGLE
ACTIVE STATUS,PRODUCT USE,LEGAL COMPLIANCE,THIRD PARTY,GOOGLE,GOOGLE,GOOGLE
ACTIVE STATUS,PRODUCT USE,LOCATION-BASED SERVICES,OPERATIONS,GOOGLE,GOOGLE,GOOGLE
ACTIVE STATUS,PRODUCT USE,PERSONALIZE CONTENT,ANALYTICS,GOOGLE,GOOGLE,GOOGLE
ACTIVE STATUS,PRODUCT USE,PERSONALIZE PRODUCTS,ANALYTICS,GOOGLE,GOOGLE,GOOGLE
ACTIVE STATUS,PRODUCT USE,PRODUCT SAFETY,SAFETY AND SECURITY,GOOGLE,GOOGLE,GOOGLE
ACTIVE STATUS,PRODUCT USE,PROTECT COMPANY,SAFETY AND SECURITY,GOOGLE,GOOGLE,GOOGLE
ACTIVE STATUS,PRODUCT USE,PROVIDE SERVICES,OPERATIONS,GOOGLE,GOOGLE,GOOGLE
ACTIVE STATUS,PRODUCT USE,RESEARCH AND DEVELOPMENT,RESEARCH AND DEVELOPMENT,GOOGLE,GOOGLE,GOOGLE
ACTIVE STATUS,PRODUCT USE,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,GOOGLE,GOOGLE,GOOGLE
ACTIVE STATUS,PRODUCT USE,THIRD PARTY,THIRD PARTY,GOOGLE,GOOGLE,GOOGLE
AD INTERACTIONS,PRODUCT USE,ACCOUNT SECURITY,SAFETY AND SECURITY,GOOGLE,GOOGLE,GOOGLE
AD INTERACTIONS,PRODUCT USE,ADVERTISING,ADVERTISING,GOOGLE,GOOGLE,GOOGLE
AD INTERACTIONS,PRODUCT USE,ANALYTICS,ANALYTICS,GOOGLE,GOOGLE,GOOGLE
AD INTERACTIONS,PRODUCT USE,COMPANY OPERATIONS,OPERATIONS,GOOGLE,GOOGLE,GOOGLE
AD INTERACTIONS,PRODUCT USE,IMPROVE PRODUCTS,ANALYTICS,GOOGLE,GOOGLE,GOOGLE
