DATATYPE,DATATYPESUBCATEGORY,PURPOSE,PURPOSESUBCATEGORY,ZOOM2020
ACCOUNT INFORMATION,PERSONAL DATA,ADVERTISING,ADVERTISING,ZOOM
ACCOUNT INFORMATION,PERSONAL DATA,IMPROVE PRODUCTS,ANALYTICS,ZOOM
ACCOUNT INFORMATION,PERSONAL DATA,PERSONALIZE PRODUCTS,ANALYTICS,ZOOM
ACCOUNT INFORMATION,PERSONAL DATA,COMPANY OPERATIONS,OPERATIONS,ZOOM
ACCOUNT INFORMATION,PERSONAL DATA,PROVIDE SERVICES,OPERATIONS,ZOOM
ACCOUNT INFORMATION,PERSONAL DATA,ACCOUNT SECURITY,SAFETY AND SECURITY,ZOOM
ACCOUNT INFORMATION,PERSONAL DATA,PRODUCT SAFETY,SAFETY AND SECURITY,ZOOM
ACCOUNT INFORMATION,PERSONAL DATA,PROTECT COMPANY,SAFETY AND SECURITY,ZOOM
ACCOUNT INFORMATION,PERSONAL DATA,LEGAL COMPLIANCE,THIRD PARTY,ZOOM
ACCOUNT INFORMATION,PERSONAL DATA,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,ZOOM
ACCOUNT INFORMATION,PERSONAL DATA,THIRD PARTY,THIRD PARTY,ZOOM
ACTIVE STATUS,PRODUCT USE,ACCOUNT SECURITY,SAFETY AND SECURITY,ZOOM
ACTIVE STATUS,PRODUCT USE,ADVERTISING,ADVERTISING,ZOOM
ACTIVE STATUS,PRODUCT USE,ANALYTICS,ANALYTICS,ZOOM
ACTIVE STATUS,PRODUCT USE,COMPANY OPERATIONS,OPERATIONS,ZOOM
ACTIVE STATUS,PRODUCT USE,IMPROVE PRODUCTS,ANALYTICS,ZOOM
ACTIVE STATUS,PRODUCT USE,LEARN USERS' BEHAVIOR,ANALYTICS,ZOOM
ACTIVE STATUS,PRODUCT USE,LEGAL COMPLIANCE,THIRD PARTY,ZOOM
ACTIVE STATUS,PRODUCT USE,PERSONALIZE PRODUCTS,ANALYTICS,ZOOM
ACTIVE STATUS,PRODUCT USE,PRODUCT SAFETY,SAFETY AND SECURITY,ZOOM
ACTIVE STATUS,PRODUCT USE,PROTECT COMPANY,SAFETY AND SECURITY,ZOOM
ACTIVE STATUS,PRODUCT USE,PROVIDE SERVICES,OPERATIONS,ZOOM
ACTIVE STATUS,PRODUCT USE,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,ZOOM
ACTIVE STATUS,PRODUCT USE,THIRD PARTY,THIRD PARTY,ZOOM
AD INTERACTIONS,PRODUCT USE,ACCOUNT SECURITY,SAFETY AND SECURITY,ZOOM
AD INTERACTIONS,PRODUCT USE,ADVERTISING,ADVERTISING,ZOOM
AD INTERACTIONS,PRODUCT USE,ANALYTICS,ANALYTICS,ZOOM
AD INTERACTIONS,PRODUCT USE,COMPANY OPERATIONS,OPERATIONS,ZOOM
AD INTERACTIONS,PRODUCT USE,IMPROVE PRODUCTS,ANALYTICS,ZOOM
AD INTERACTIONS,PRODUCT USE,LEARN USERS' BEHAVIOR,ANALYTICS,ZOOM
AD INTERACTIONS,PRODUCT USE,LEGAL COMPLIANCE,THIRD PARTY,ZOOM
AD INTERACTIONS,PRODUCT USE,PERSONALIZE PRODUCTS,ANALYTICS,ZOOM
AD INTERACTIONS,PRODUCT USE,PRODUCT SAFETY,SAFETY AND SECURITY,ZOOM
AD INTERACTIONS,PRODUCT USE,PROTECT COMPANY,SAFETY AND SECURITY,ZOOM
AD INTERACTIONS,PRODUCT USE,PROVIDE SERVICES,OPERATIONS,ZOOM
AD INTERACTIONS,PRODUCT USE,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,ZOOM
AD INTERACTIONS,PRODUCT USE,THIRD PARTY,THIRD PARTY,ZOOM
