DATASOURCE,DATATYPE,HOW
COOKIES,ACCOUNT INFORMATION,HARVESTED
PUBLIC DATA SOURCES,ACCOUNT INFORMATION,HARVESTED
THIRD PARTY APPLICATIONS,ACCOUNT INFORMATION,HARVESTED
USER PROVIDED,ACCOUNT INFORMATION,USER PROVIDED
ACTIVE PRODUCT USE,BEHAVIOR ON DEVICES,HARVESTED
COOKIES,BEHAVIOR ON DEVICES,HARVESTED
DEVICES,BEHAVIOR ON DEVICES,HARVESTED
ACTIVE PRODUCT USE,CALL/MESSAGE METADATA,HARVESTED
DEVICES,CALL/MESSAGE METADATA,HARVESTED
DEVICES,CAMERA INFORMATION,HARVESTED
ACTIVE PRODUCT USE,CONTACTS' INFORMATION,HARVESTED
USER PROVIDED,CONTACTS' INFORMATION,USER PROVIDED
BEACONS,CURRENT LOCATION,HARVESTED
CELL TOWERS,CURRENT LOCATION,HARVESTED
DEVICES,CURRENT LOCATION,HARVESTED
USER PROVIDED,CURRENT LOCATION,USER PROVIDED
WIFI ACCESS POINTS,CURRENT LOCATION,HARVESTED
ACTIVE PRODUCT USE,DEMOGRAPHICS,HARVESTED
CELL TOWERS,DEMOGRAPHICS,HARVESTED
DEVICES,DEMOGRAPHICS,HARVESTED
PUBLIC DATA SOURCES,DEMOGRAPHICS,HARVESTED
USER PROVIDED,DEMOGRAPHICS,USER PROVIDED
DEVICES,DEVICE IDENTIFIERS,HARVESTED
THIRD PARTY APPLICATIONS,DEVICE IDENTIFIERS,HARVESTED
DEVICES,DEVICE INFORMATION,HARVESTED
DEVICES,DEVICE SETTINGS,HARVESTED
DEVICES,DEVICE SIGNALS,HARVESTED
ACTIVE PRODUCT USE,FILE INFORMATION,HARVESTED
DEVICES,FILE INFORMATION,HARVESTED
DEVICES,IP ADDRESS,HARVESTED
ACTIVE PRODUCT USE,LOGIN INFORMATION,HARVESTED
USER PROVIDED,LOGIN INFORMATION,USER PROVIDED
USER PROVIDED,NAME,USER PROVIDED
ACTIVE PRODUCT USE,NETWORK INFORMATION,HARVESTED
COOKIES,NETWORK INFORMATION,HARVESTED
DEVICES,NETWORK INFORMATION,HARVESTED
ACTIVE PRODUCT USE,NON-PERSONAL DATA,HARVESTED
THIRD PARTY DATA BROKERS,NON-PERSONAL DATA,FROM THIRD PARTIES
USER PROVIDED,NON-PERSONAL DATA,USER PROVIDED
USER PROVIDED,PAYMENT CARD INFORMATION,USER PROVIDED
THIRD PARTY DATA BROKERS,CUSTOMER SERVICE COMMUNICATIONS,FROM THIRD PARTIES
USER PROVIDED,CUSTOMER SERVICE COMMUNICATIONS,USER PROVIDED
ACTIVE PRODUCT USE,PRODUCT USE,HARVESTED
COOKIES,PRODUCT USE,HARVESTED
DEVICES,PRODUCT USE,HARVESTED
THIRD PARTY DATA BROKERS,PRODUCT USE,FROM THIRD PARTIES
USER PROVIDED,PRODUCT USE,USER PROVIDED
ACTIVE PRODUCT USE,USE OF OTHER PLATFORMS,HARVESTED
COOKIES,USE OF OTHER PLATFORMS,HARVESTED
DEVICES,USE OF OTHER PLATFORMS,HARVESTED
THIRD PARTY DATA BROKERS,USE OF OTHER PLATFORMS,FROM THIRD PARTIES
USER PROVIDED,USE OF OTHER PLATFORMS,USER PROVIDED
ACTIVE PRODUCT USE,FEATURES USE,HARVESTED
DEVICES,FEATURES USE,HARVESTED
USER PROVIDED,FEATURES USE,USER PROVIDED
ACTIVE PRODUCT USE,ACTIVE STATUS,HARVESTED
DEVICES,ACTIVE STATUS,HARVESTED
USER PROVIDED,CONTENT CREATED/UPLOADED,USER PROVIDED
ACTIVE PRODUCT USE,CONTENT CREATED/UPLOADED,HARVESTED
ACTIVE PRODUCT USE,AD INTERACTIONS,HARVESTED
COOKIES,AD INTERACTIONS,HARVESTED
DEVICES,AD INTERACTIONS,HARVESTED
THIRD PARTY DATA BROKERS,AD INTERACTIONS,FROM THIRD PARTIES
USER PROVIDED,AD INTERACTIONS,USER PROVIDED
DEVICES,PUBLIC DATA,HARVESTED
PUBLIC DATA SOURCES,PUBLIC DATA,HARVESTED
ACTIVE PRODUCT USE,PURCHASE HISTORY,USER PROVIDED
USER PROVIDED,PURCHASE HISTORY,USER PROVIDED
ACTIVE PRODUCT USE,SEARCHES,USER PROVIDED
THIRD PARTY APPLICATIONS,SEARCHES,USER PROVIDED
DEVICES,SERVICE PROVIDER INFORMATION,HARVESTED
PUBLIC DATA SOURCES,SERVICE PROVIDER INFORMATION,HARVESTED
THIRD PARTY DATA BROKERS,SERVICE PROVIDER INFORMATION,FROM THIRD PARTIES
USER PROVIDED,USER'S CONTACT INFORMATION,USER PROVIDED
