NAME,CATEGORY,SUBCATEGORY,ORDER,INCLUDES
ACTIVE PRODUCT USE,DATASOURCE,DATASOURCE,1,
BEACONS,DATASOURCE,DATASOURCE,2,
CELL TOWERS,DATASOURCE,DATASOURCE,3,
COOKIES,DATASOURCE,DATASOURCE,4,
DEVICES,DATASOURCE,DATASOURCE,5,
PUBLIC DATA SOURCES,DATASOURCE,DATASOURCE,6,
THIRD PARTY APPLICATIONS,DATASOURCE,DATASOURCE,7,
THIRD PARTY DATA BROKERS,DATASOURCE,DATASOURCE,8,
USER PROVIDED,DATASOURCE,DATASOURCE,9,
WIFI ACCESS POINTS,DATASOURCE,DATASOURCE,10,
ACCOUNT SECURITY,PURPOSE,SAFETY AND SECURITY,1,"ACCOUNT SECURITY, ANTI-FRAUD, DETECT MALWARE, VERIFY ACTIVITY, VERIFY IDENTITY, FACIAL RECOGNITION"
ADVERTISING,PURPOSE,ADVERTISING,2,"IMPROVE ADS, MEASURE AD PERFORMANCE, PERSONALIZE ADS, PROVIDE ADS, SPONSORED CONTENT, THIRD PARTY ADVERTISING"
ANALYTICS,PURPOSE,ANALYTICS,3,"ALGORITHMS, MEASURE PERFORMANCE, PROCESSING SEARCH TERMS"
COMPANY OPERATIONS,PURPOSE,OPERATIONS,4,"AUDITING, CONNECTING ACROSS PRODUCTS/DEVICES, CUSTOMER SERVICE, FINANCIAL TRANSACTIONS, LEGAL COMPLIANCE, MAINTAINING PRODUCTS/SERVICES, TRACKING OUTAGES"
IMPROVE PRODUCTS,PURPOSE,ANALYTICS,5,"IMPROVE APPLICATIONS, IMPROVE CONTENT, IMPROVE PRODUCTS/SERVICES, IMPROVE STORES"
LEARN USERS' BEHAVIOR,PURPOSE,ANALYTICS,6,"LEARN FROM USERS, UNDERSTAND CUSTOMER BEHAVIOR"
LEGAL COMPLIANCE,PURPOSE,THIRD PARTY,7,LAW ENFORCEMENT REQUESTS
PERSONALIZE PRODUCTS,PURPOSE,ANALYTICS,8,"CUSTOMIZE SEARCH RESULTS, PERSONAILZE PRODUCTS/SERVICES"
PRODUCT SAFETY,PURPOSE,SAFETY AND SECURITY,9,"DETECT SUSPICIOUS CONTENT, DETECT/PREVENT SPAM, INVESTIGATE VIOLATIONS, LOSS PREVENTION, NETWORK SECURITY, PREVENT HARM, PROTECT SERVICES, PROTECT USERS/PUBLIC"
PROTECT COMPANY,PURPOSE,SAFETY AND SECURITY,10,PROTECT COMPANY
PROVIDE SERVICES,PURPOSE,OPERATIONS,11,"APPLICATIONS, PROVIDE CONTENT, PROVIDE FEATURES, PROVIDE PRODUCTS, PROVIDE SEARCH RESULTS, PROVIDE SERVICES, PURCHASES, SUGGESTIONS/RECOMMENDATIONS, FACIAL RECOGNITION"
SERVICES FOR EXTERNAL BUSINESSES,PURPOSE,THIRD PARTY,12,"FULFILLMENT, HELP ADVERTISERS, TECHNICAL SERVICES"
THIRD PARTY,PURPOSE,THIRD PARTY,13,"ADVERTISERS, AFFILIATED BUSINESSES AND PARTNERS, APIS, THIRD PARTY APPLICATIONS, CONTENT CREATORS, DATA PROVIDERS, DOMAIN ADMINISTRATORS, GOVERNMENT AND LAW ENFORCEMENT, MEASUREMENT PARTNERS, MERCHANTS/VENDORS, NEW OWNER, REGULATORS, RESEARCHERS/ACADEMICS, SERVICE PROVIDERS/CARRIERS, WEBSITES"
ACCOUNT INFORMATION,TYPE OF DATA,PERSONAL DATA,1,"USER PROVIDED INFORMATION, CONTACT INFORMATION (PHONE NUMBER, EMAIL ADDRESSES), CONTACT LIST, ADDITIONAL ACCOUNTS, CONNECTED ACCOUNTS, ACCOUNT TYPE (PERSONAL, BUSINESS)"
